huyd001achi01_01.TEI.2.text.body.div.head.900.s.1	Achilles , treurspel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3008.s.1	mare hebben gei niet zien , of Hector , onder het strijd , ik vriend hebben aandoen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3033.s.1	zode ras aan al zijden doen schrik hebben Troische heir weder na doen stad deedt zieden , zien ik die groot Held , zode wel alles doen ander , vlieden .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3033.s.2	ik zien , hoe zijn ' paard , die in het run veel held verpletteren , mede schrik na het beven Troje snelden ; En denken , zijn het mogelijk , die zode moedig een soldaat , In een zode groot node , zode ras hebben veld verlaten !	Fear_Emotion_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.3033.s.3	ik verheugen ik evenwel : wan daar die held gaan vlijen , wij vinden hebben Troische heir zullen wij dan weerstand bieden ?	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3033.s.4	veel ander nochtans , rijden tot aan de muur vluchten , de schrik vinden al zij volk aanschouwende , en beducht Voor groot nederlaag , staan pal , om tij te winden , Op d'oever vinden doen gracht .	Fear_Worry_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3033.s.5	Hier , denken ik , hier beginnen doen Trojers wederom te krijgen nieuw moede .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3033.s.6	doen gracht , rijden half vullen mede lijk en mede bloeden , woord mede hebben vlak veld vereffenen , door doen menigt ' vinden held , naar zij dood in deze plaatsen verenigen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3033.s.7	geren Griek , die , in die staan , geren ' wonder bedryft , Die zijn lof in het sant mede zijn vijand bloeden niet schrijven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3046.s.2	die ik zieden kunnen , die ik roemen nog gaan te hart !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3046.s.3	Ik danken uw voor deez ' gul .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3046.s.4	mare denken om mijn smarten , En het geren ik hebben lijden door een ' zode bits smaad .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3046.s.5	geven , die ik lief vriend verwinnaar kaar !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3046.s.6	mare laten hij niet geheel en al de vijand te onderbrengen , zode gei het herstellen vinden mijn eer ooit wild gehengen .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.1	ik hebben doen eer hebben , die gei , vinden uw eerst tij , Door ik bezorgen , bewaren , en onderwijzen zijn ; zelf torn gij u Vaderland , nu negen jaar lijden , verlaten , om , voor de waal vinden Troje , u ' dapperheid te proeven te stillen , hebben u Vader ik bieden , altijd een wakend ogen te houwen op zijn zode .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.2	hebben ik ik in ik plicht niet wel genoeg gekweeten ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.3	hebben ik ooit doen eerbied , die ik uw schuldig wassen , vergeten ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.4	Of kosten gij uw ooit mede rechte beklagen vinden ik raden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.5	horen dan nog een na ik in deez benauwen staan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.6	het zijn zijn , doen Trojers , die uw niet in het veld verwachtten , begeven zien te vluchten , torn zij uw te aanschouwen dachten ; torn u ' Thessaliers in het veld verschijnen , mede Een ' woede , daar geren heir , hoe sterk , zien tegen zetten .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.8	hoe schielijk kunnen die oorlogs kans verdraaien !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.9	wie zieden op een dagge verscheiden ' wind wade , mare sneller alles doen winden verkeerd hebben lossen geluk .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.10	naar een kort vreugde volgen dikwijls zwaar druk .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.11	groots zijn doen braafheid vinden de trouwsten uw vriend : mare niet zode groots , die hij geren ' sterk hand kunnen vinden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.12	het zijn al geren Parissen , die hij in het veld ontmoeten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.13	Indien Sarpedon dan , of Hector , heten op bloeden ; Indien Anchizes zode , of ander vinden zij held , zien tegen uw vriend mede al zij macht een stellen ; hij zijn , ofschoon hij zijde voorzien mede u geweer , Niet onverwinnelyk .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.14	bedenken deze wel , ik Heer .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.15	hebben dan een Trojer hebben geluk vinden hij te treffen , Hoe ras zullen zien doen moede weder in zij harden verheffen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.16	Hoe schielijk zij u volk , indien hij het onheil hebben Te sneuvlen , zijn zichten weder wonen vinden doen stad !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.17	gei hebben te velen wagen mede hij in het veld te zenden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.18	woord hij verwinnen , ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.19	hoe zien ik uw bende verschrikken en hopeloos weder vlucht na doen vlieden , En storten wij al t ' zaam in een ' gewis dood !	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.20	vinden een Held allee hand wij geluk en leven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.21	alles ik deze overdenk , hoe veel ik ik ' lid beven !	Fear_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.22	het zijn niet , omdat ik vrezen of zorgen hebben voor doen dood , mare omdat gei wij storten in een zode groot node .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.23	gei , gei Achilles , die doen trots en hoog wal vinden het machtig Ilium moeten door u ' hand doel val ; gei , vinden wie dapperheid en onverwinlyk stalen hebben grieks leger zien een ' blijde zegepralen beloven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.24	Gaa dan nog .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.25	gei hebben de god gezworen , Te karn in hebben veld , te matigen u toorn , zode ras gei het grieks vuur zullen zieden in ons vlieden .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.26	Zulks hebben gei rijden zien .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.28	in deze node zenden gei allee u vriend , om voor hebben landen te strijd , En blijven zelf rust .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.30	kunnen deze u ' grootsheid leiden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.31	zode nu Patroclus u ' vermaning vergeten , Of zode een ' Troische hand die Held te aard smeden , mede welk een ' macht zullen gei de vijand weerstand bieden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.32	gei zullen u ' troep zelf , verbazen , verschrikken , zieden vlijen ; doen vijand naderen aan u ' schip ; en u ' hand geren ' vriend vinden , om hij eengen tegenstand Te bieden in die node .	Fear_Emotion_Wonder
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.33	Ach laten uw tocht bewegen !	Emotion_Compassion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3129.s.34	Verlosch u vriend , en trekken voor het laatst de vijand tegen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3139.s.1	zode hebben ik vruchteloos zode lang tij wachten mede strijd . ik hebben vergeefs wij heir in node brengen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3139.s.2	ik willen die doen dwingeland ik zelf zullen komen smeken Om bijstand , eer ik weder ik moedig harden willen breken , Of strijd nevens hij .	EmotionalAction_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.3143.s.1	ik zien Alcimus .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.3148.s.1	achilles , feniks , alcimus .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3154.s.1	WAt hebben gij wij nieuw te brengen , die gei uw zode schielijk reppen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3154.s.2	spreken op .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3154.s.3	hoe varen ik vriend ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3154.s.4	hoe varen mijn bende ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3161.s.1	het gelieven u waarde vriend , ik na uw toen te zenden , zode ras zijn ' braaf vuist Sarpedon , d'eedlen Held , te neder geslagen , en manmoedig hebben vellen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.1	gei sterven , o braaf ziel , gelijk ik uw zien leven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.2	nooit wensen ik ander , alles voor het Vaderland , te sneeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.3	Zulks zijn ik ook voorspellen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.5	in deze staan woord ik zulks weder ontzeid door Agamemnons haten .	Emotion_Hatred
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.6	Sarpedon , ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.7	hebben gij ooit denken , die , naar u leiden , Achilles uw deez ' dood nog zelf zij benijden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.8	gei sneuvelen door doen hand vinden mijn waardsten vriend .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.9	deze eer hebben uw deugd al lang tij verdienen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.11	moeten ik ook doen dood voor Trojes wal sterven , laten ik die vinden doen hand vinden Priams zode verwerven , vinden dappren Hector , die ik ' kracht evenaren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.12	geren ander zijn deze eer , vinden ik te treffen , woerd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.13	vinden een onwaarde hand de laatst steken te ontvangen , zijn iets , die mijn ziel nog naar ik ' dood zij prang .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.14	mare hoe zijn het toegegaan ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3181.s.15	verhalen ik zijn dood .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.1	Patroclus , zien die doen vijand ons vlieden Op zijn komst verlaten , vervolgen doen vluchteling Tot aan doen gracht , daar zijde terstond weder order ontvingen , wij in te wacht , en mede moede te weerstaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.2	u ' troep , heten op wraken , vervoeren door gramschap , gaan de vijand moedig naar .	Emotion_Anger_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.3	Hier zieden wie hun held , Die tegen wij op nieuw zien in slagorde stellen , doen groot wonderen doel , die immer zijn zien .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.4	Sarpedon , die zijn volk weder na doen stad zien vlieden , Weerstaat allee doen macht vinden u ' wraakzieke bende ; Tot die zijn ' troep zien weder tegen doen ons wonen , Op het horen vinden zijn ' stemmen .	Emotion_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.5	hij springen mede fris moede vinden zijn waag af , tot doen enkels toen in het bloeden , En spreken Patroclus aan : Achilles , ik zien , u toorn zijn eindelijk verzoenen ; aldus laten hij zien horen , Niet ander denkende , of gei zelf waard bedekken mede uw wap'nen , weer zichten elk schrik verwekken ; staan stillen , verwin ik , zode gei verder uw zege Vervolgen wild .	Fear_Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.6	u vriend springen aanstonds onverlegen met vinden de zijn af , en bieden , mede een wellen , alles of gei het zelf waard wezen , die groot Held de punten vinden zijn geweer .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.7	ik horen hebben krygsvolk schreeuwen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.8	Elk zien na deze gevecht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.9	geren ' hongerig leeuw Staan ooit zode onbevreesd , al strydenze om de buiten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.10	naar het vel vinden doen speer , halen elk zijn slagzwaard uiten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.11	zij moede verdubbelen op hebben zieden vinden zijn ander oog .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.12	het Volk staan om beide moede verrukken en opgetogen .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.13	Doch eindelijk u vriend treeft zijn weerparty mede een zode wis slag , die hij aan zijn zijde Neerstort , gans leevenloos .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.14	zijde , die deze strijd aanschouwden , Die , naar deze onheil , zelf zij kracht niet meer betrouwen , begeven zien te vluchten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.15	Patroclus , mede hebben bloeden vinden deze Held bevlekken , klimmen aanstonds weder vol moede Op zijn waag .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.16	mare helaas ! ik zien ondertussen Een , die zijn wraakvier , op u Halsvriend , niet kunnen blussen , zijn ' paard , dol vinden toren , bestrijden , en hij kwetsen hebben een in zijn buik .	Emotion_Anger_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.17	Automedon , op het lest heen niet meer machtig mede de teugel te bestieren , zien zien noodzaken , zij de vol tomen te vier .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.18	zijde vlieg door doen gracht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3244.s.19	u ' troep volgen hij , Gemoedigd door zijn varen , en , hoorende zijn ' stemmen , Die zijde door het krygsgeluid niet kunnen onderscheiden , geloven , die hij heen tot aan doen stad wouw lijden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3253.s.1	zode zijn ik ' voorzorg dan geheel onnut wezen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3253.s.2	Hoe maken ik deze mare op nieuw voor uw bevreesd , Patroclus , waard vriend !	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3253.s.3	doen god uw behoeden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3265.s.1	geren node , ik Heer .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3265.s.2	ik zien de vijand voor hebben woeden vinden u ' Thessaliers straks vlucht , en ontstellen te stad invliegen , om hebben schrikkelijk wellen vinden uw vriend te ontgaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3265.s.3	Ja zelf , zode ik mijn oog , Die zulks vinden ver allee zien hebben , niet bedriegen , lopen Troje groots gevaar , en zien zijn hogen waal Door uw vriend dreigen mede een gewis vallen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3272.s.1	die willen hebben noodlot en hebben Godendom verhoeden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3272.s.3	wat zullen ik dan mijn oneer weder vergoeden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3272.s.4	zij Troje zonder ik zien overwinnen zieden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3272.s.5	Neen , Alcimus , o neen : die zien gei nooit geschien .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3308.s.1	zijn het nog geren tij , ik Heer , Patroclus bij te spring ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3308.s.2	Door zijn paard , die geren ' hand meer kunnen bedwingen , vervoeren en wegge rukken , en ver vinden ons vlieden , slepen hij wij al mede zien zelf in deze node .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3308.s.3	zode langen hij niet bestaan , die trots stad te naderen , bedekken hij zijn ' kruin mede groen lauw blaar : mare nu hij u verzoek en les dus verachten , vervallen hij uiten zien zelf in zijn vijand woede en macht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3308.s.4	blijven hij in het slagveld ; hoe zullen gei zijn ' dood beklagen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3308.s.5	verwinnen hij Ilium ; hoe zullen uw die mishagen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3308.s.6	Bezorg uw eer dan , of hebben leven vinden die Held .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3308.s.7	zelf , schonen hij levend hebben vijandelijk wellen Thans weer ontkomen kunnen , doch evenwel moeten vlucht ; Ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3308.s.8	zullen gij om ons vallen en nederlaag niet zucht ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3308.s.9	gei zullen de Frigiaan , alles vinden de morgen , weder doen vlieden zieden blakeren , wij moedig krygsvolk neder zieden houden , gans verwoed , en , doch te laten , aanschouwen , Hoe weinig zijn mens helpen op aard zijn te betrouwen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3308.s.10	doen god , langsaam in zij straf , toon klaar Door duizend tek'nen , in wat schrikkelijk gevaar gij wij en uw zelf storten : mare wil zijde zien wreken , het zijn vrucht'loos , die ik weder zij gramschap zoeken ' te breken .	Emotion_EmotionalAction_Anger_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.3308.s.11	nemen deez ' vermaning dan eindlyk wel in achten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3308.s.12	zode gei u plicht , tot heil vinden het vaderland , betrachten , u ' gramschap weder verzoenen , en voor de Griek wild strijd , ik verzekeren uw , u ' hand allee kunnen wij bevrijden .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.stage.3313.s.1	achilles , feniks , alcimus , automedon .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3317.s.1	doen Hemel hoeden wij !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3317.s.2	hoe ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3317.s.3	gei hier Automedon ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3333.s.1	wie zieden de node op nieuw verdubbelen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3333.s.2	Ik kennen u ' paard , zwaard kwetsen , niet lang weerhouden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3333.s.3	doen vluchteling , die wij in wanorde aanschouwen , Staan weder pal : terwijl Vorst Priams dapper zode , die elk denken , die terstond doen stad wassen ingevloon , mede nieuw moede weerkeerde , en roepen tot zijn ' soldaat , die hij heen niet , uiten vrezen , lafhartig hebben verlaat , mare door zijn ' paard wegge voeren wassen , torn doen hand vinden uw vriend doen vlieden verloschte vinden de branden .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3338.s.2	leven ik vriend niet meer ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.1	torn ik hij hebben begeven , verdrijven u zorgen , ik Heer , hebben ik hij nog zieden leven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.2	de waag stuitende op een hogen stenen , vallen hij In het bloedig slagveld neder , en ploffen aan mijn zijde .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.3	wie spring over einde , en staan de vijand tegen , zode velen wij mogelijk zijn .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.5	ik zien de zege Straks ons zijden weder verlaat , en zode ras doen braaf Hector weder te strijd komen wassen , de vijand , hoe vermoeid , mede nieuw kracht strijd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.6	zode kunnen een ' dapper hand een ' gans stad bevrijden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.7	hij razen , hij woeden , hij schreeuwen , en denkende die gei u ' troep zelf weder te strijd voeren , hebben hij u naam steeds in de mond ; willen tegen uw zijn ' kracht nog een beproeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.8	geren vinden doen uw durven hij wacht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.9	u braaf vriend allee blijven onverzettelijk staan , willen Hector , door zijn ' hand , in het ogen de stad verslaan , Of sterven door doen zijn .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.10	Ik zien doen braaf held , Die uw vriend getrouw in deze node verzelden , Op deze gezigte ontroerd .	Emotion_Moved
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.11	Vorst Menelaus , die Ik , voor al ander , bekommeren hebben zien Voor het leven vinden die Held , hebben ik na uw zenden , Om uw de slecht staan vinden het leger te verkonden .	Worry_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.12	denken , welk een vriend gei zullen verlies , deze dagge .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.14	die u ogen doen rouw vinden al doen held zien !	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.15	hij zelf allee staan pal , en , schonen hij het medelijden , vinden ieder op zien halen , willen Priams zode bestrijden , die zode gevreesden Held doel val door zijn zwaarte , Of blijven op doen plaatsen .	Emotion_Compassion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.16	zijn hij uw dan zode woerd , zijn hij doen trouw altijd wezen vinden uw vriend , laten hij dan in u ' hand deze laatst bijstand vinden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.17	hij niet alleenig , mare wie al zijn in node .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3383.s.18	denken om uw zelf , ik Heer ; denken om doen bang vlieden , En het droevig Vaderland !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3390.s.1	nul god !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3390.s.2	die uiten de hogen , Al wat wie doel , beschouwen , hebben gei ik ook bedriegen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3390.s.5	vergeetge dus ik raden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3390.s.6	Wat lijden ik ' bang ziel een ' pijn in deze staan !	Fear_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.head.3393.s.1	vijfde toneel .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.3395.s.1	achilles , ulysses , feniks , alcimus , automedon .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3399.s.1	WAt brengen Ulysses wij ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3404.s.1	doen droevigste al meren , Helaas !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3409.s.1	Wat bang schrik komen mijn ziel bezwaren !	Fear_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.3409.s.2	Hoe gaan hebben mede ik vriend ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3413.s.2	die leven niet meer .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3417.s.1	Patroclus leven niet meer !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3422.s.1	zien hier doen vlucht , ik Heer , vinden uw haten , en onverzoenelyken toorn .	Emotion_Hatred_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.3433.s.1	laten wij geren ' zucht horen , mare god u ' wapen aan , om , in deze laatst node , wij al , zijn het mogelijk , te verlosschen vinden doen dood !	BodilyProcess_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.3437.s.1	vervloekt Dwingeland !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3437.s.2	gei zullen zijn ' dood betalen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3442.s.2	willen wij in hebben korten de droef staan verhaal vinden het grieks leger .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.1	Held Patroclus , lang tij zijn vijand weerstaan in deze laatst strijd , worden eindlyk door doen hand vinden Hector zode treffen , die ik hij leevenloos in het sant zien neerploffen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.2	hebben aardrijk schudden door de vallen vinden zulk een Held .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.3	geren Eikeboom , in het einde door slag op slag vellen , veroorzaken zulk een schrik , in het harden vinden die het aanschouwen , Op het naderen vinden zijn vallen .	Fear_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.4	doen griek , weer vertrouwen allee op hij berusten , en op zijn ' dapper hand , zieden al hopen mede hij neerstorten in hebben sant .	Emotion_Trust
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.5	doen zode vinden Priam , weer gemoedigd door die zege , verheffen zijn ' stemmen , en roepen zijn ' bende , die verliggen hebben bloedig slagveld rijden verlieten , weder bij een .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.6	eest drijven doen vrezen heen wegge ; nu drijven zij wij weder heen .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.7	mare Hector vinden zich zeer in zijn vreugde bedriegen , torn hij het martelen lijk ontwapenen , en , zijn oog Aanschouwende , mede smarten en droefheid merken , die hij Peleus groot zode niet overwinnen hebben .	Joy_Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.8	ik kennen doen spijt en toren uiten beide zijn oog lezen .	Emotion_BodyPart_Anger_Annoyance
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.9	hij werpen nochtans , om dus u volk meer te doel vrees , zijn eigen ' wapen wegge ; nemen doen uw , en vliegen door't veld , gelijk een razend , die , wat zien tegenstelt , te neder werpen en verwoesten .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.10	Niets kunnen hij weerhouden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.11	gei zullen hij binden korten weder bij doen vlieden aanschouwen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.12	u ' troep zijn verstrooien .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3476.s.13	Gelukkig zijn doen manna , roepen elk , die door doen vluchten zijn ' woede ontkomen kunnen .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.3491.s.2	moeten gei ik tot zode velen ongeluk bewaren !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3491.s.3	Neen ; ik willen in deze staan ik zelf niet lang sparen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3491.s.4	ik ' dapperheid gezond door Agamemnons haten !	Emotion_Hatred
huyd001achi01_01.TEI.2.text.body.div.div.sp.3491.s.5	ik Vaderland in node tot wraken vinden deze smaad !	Emotion_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.3491.s.6	ik halsvriend leevenloos !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3491.s.7	ik ' wapen , o god !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3491.s.8	te dienst vinden Hector , tot bescherming vinden die snood , de wreed moorder vinden hebben waard die ik hebben .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3491.s.10	hebben ik het geweer nog zelf mare opvatten ; wassen ik gesneuveld door hebben woeden vinden die hand , Ik zien ik levend niet vol oneer en vol schande !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3498.s.1	doen vorstin smeken uw , die gei in deze staan heen wederom , ik Heer , voor het laatst niet verlaten !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3516.s.1	Ik zullen te strijd gaan ; ja .	None
