stee033tham01_01.TEI.2.text.body.div.head.198.s.1	Thamas Koelikan , of doen verovering vinden hebben Mogolsche rijk ; Treurspel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2080.s.2	vergunnen ik die ik harden in Milkoos blijdschap deel , zij bloeden voor het mijn erkenn ' , mede zijn keizer heil zien streele , En dus , door uw op het spoor de waar deugd leiden , vinden ver u voorbeeld volgen ' door mededoogendheid .	Joy_Emotion_BodyPart
stee033tham01_01.TEI.2.text.body.div.div.sp.2090.s.1	u deernis voor een ' vorst , in onkunde opgetogen , Door het vleien hofgezin erbarmelyk bedriegen , En voor een zuchten rijk in hogen oorlogsnood , zijn ' loffelijk , zode die drift niet uiten u liefde sproot : ik willen echter in ik ' zode geren mededogen wraak ; En prijs , om Milkoos deugd , hebben vuur die uw doen blaken .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.2090.s.2	mare vleien uw niet te velen voor het waggelen Indostan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2094.s.1	Wat geven ik stof tot vrezen ?	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.2111.s.1	het Verraad vinden Alikan , doen ontrouw Mahomet , ja al .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2111.s.2	het zijn onzeker die Nizamelmoluk een ' dwazen woordverbreker , Door zijn ' getrouw raden , tot overgaaf verplichten '; Of tegen het vloekverbond , door oproer , iets verrichten ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2111.s.3	Niets ander zijn bekwaam doen onweerbre legerbenden , de keizer , het gans rijk , te ontslaan vinden krygselenden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2111.s.4	zode Nizamelmoluk hebben eene en het ander mest , zullen het heir , door hij verdelen in onderling twisten , Door fel binnenkryg zichzelf bykans vernielen , En het Persiaansche stalen hebben overschot ontzielen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2111.s.5	Ik zien , hoe doen uitslag zijde , in het korten ik ' eisen voldoen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2111.s.6	ik wraken hebben anderszins geren uitstel toestaan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2115.s.1	doen keizer zullen , bevreesd , zien aan het gevaar onttrekken .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.2121.s.1	het zij ik , niet minnen dan uw , tot zijn genoegen strekken : Ja ik zij , in weerwil vinden zijn ontrouw , vinden die honen , hij , door zijn volk verraen , herstellen op de tronen .	None
stee033tham01_01.TEI.2.text.body.div.div.head.2123.s.1	Zevende toneel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2129.s.2	een gruwelstuk !...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2133.s.1	Wat doen uw zwygend beven ?	Fear_BodilyProcess
stee033tham01_01.TEI.2.text.body.div.div.sp.2138.s.1	u wachten zijn omkopen ; ik dreigen u dierbaar leven ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2138.s.2	ik wachten doen duisternis ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2151.s.1	ik strijd deze nacht !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2151.s.2	doen dagge verdwynt allengs .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2151.s.3	ik toeleggen zijde volbrengen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2151.s.4	Ziedaar voor wieden gei smeken : hij zijn ik gul onwaardig ; hij dwingen ik tot zijn straffen .	Worry_EmotionalAction_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.2151.s.5	zijn het heir te strijd vaardig ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2160.s.1	ik hebben u ' lassen verrichten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2160.s.2	mare ik vrezen de koningsmoord , Nu al hebben vloekgespan nog niet zijn opsporen .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.2160.s.3	getrouw Orosmin , die ik het verraad ontdekken , En mede een delen de wachten zijn trouwen in schijn bevlekken , Opdat u doodsgevaar door list worden afwennen ; de trouw Orosmin zijn al niet bekennen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2164.s.1	o Ramp !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2164.s.2	o Milko !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2171.s.1	ik willen doen gruwel onderzoeken , En door een vreemd bestaan doen schuldig verkloeken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2171.s.2	geveinsd Mahomet !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2171.s.3	beven mede u ' vloekgenoot : Vermeetlen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2171.s.4	wachten u straffen , of redden uw door ik dood .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.2173.s.1	Einde de vierde bedrijf .	None
stee033tham01_01.TEI.2.text.body.div.head.2177.s.1	vijfde bedrijf .	None
stee033tham01_01.TEI.2.text.body.div.stage.2181.s.2	Twee Lyfwachten .	None
stee033tham01_01.TEI.2.text.body.div.sp.2190.s.1	beletten ik niet , Semire !	None
stee033tham01_01.TEI.2.text.body.div.sp.2190.s.2	uiten deze tent te tred .	None
stee033tham01_01.TEI.2.text.body.div.sp.2190.s.3	Ik weten ik wacht door ik traan te overrijden ; En gei , geven gei geren blijk vinden mededoogendheid ?	Emotion_BodyPart_Compassion_Sadness
stee033tham01_01.TEI.2.text.body.div.sp.2190.s.4	hebben naar krygsgerucht , die zien alom verspreiden , doen ik beklemmen ziel ontwijfelbaar bevroeden , die Nadirs bende op het Mogolsche leger woeden .	None
stee033tham01_01.TEI.2.text.body.div.sp.2194.s.2	volgen ik ' raden , prinses !	None
stee033tham01_01.TEI.2.text.body.div.sp.2201.s.1	o Onweerstaanbre schrik !	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.2201.s.2	o akelig nacht !	None
stee033tham01_01.TEI.2.text.body.div.sp.2201.s.3	o angstig ogenblik !...	None
stee033tham01_01.TEI.2.text.body.div.sp.2201.s.4	Semire ! het zijn vergeefs ik dus te weerstreven ; ik voldoen ik ongeduld .	None
stee033tham01_01.TEI.2.text.body.div.sp.2209.s.1	gei wagen u dierbaar leven .	None
stee033tham01_01.TEI.2.text.body.div.sp.2209.s.2	Wat kunnen een teder vrouw in doodsgevaar bestaan ?	None
stee033tham01_01.TEI.2.text.body.div.sp.2209.s.3	doen zijn keizer onheil uw tot wanhopen overslaan ?	Emotion_Despair
stee033tham01_01.TEI.2.text.body.div.sp.2209.s.4	zullen gij , alles het erbarmelijk loten vinden ons legerschaar uw nader zijn bekennen , doen moordzucht doel bedaren ?	None
stee033tham01_01.TEI.2.text.body.div.sp.2213.s.1	vertoeven , indien het gevaar voor uw te dringen zijn .	None
stee033tham01_01.TEI.2.text.body.div.sp.2221.s.1	Ik volgen uw hier , op hopen vinden zijn rijk behoudenis : Ik vrezen niet voor myzelve , en zullen uw niet verlaat .	Fear_Worry_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.2221.s.2	mare ach !	None
stee033tham01_01.TEI.2.text.body.div.sp.2221.s.3	u ongeduld kunnen Mahomet niets baat .	None
stee033tham01_01.TEI.2.text.body.div.sp.2221.s.4	dewijl ik vruchteloos ik vaderland bewenen , vrezen ik angstvallig harden voor ik prinses allee .	Fear_Emotion_BodyPart_BodilyProcess_Sadness_Despair
stee033tham01_01.TEI.2.text.body.div.sp.2227.s.1	het Gevaar vinden Indostan , niets ander , doen ik vrees .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.2227.s.2	ik zien of Nadirs wraken wij hebben te vallen verwijzen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2238.s.1	Prinses !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2238.s.2	zijn vlieden gei heen in deze naderen nacht ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2238.s.3	wij heir worden aantasten door zijn keizer legermacht ; En ik , te leur stellen in het yvrig medelijden , zijn vaardig tegen hij voor wij behouden te strijd .	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.2243.s.1	gei vaardig tot bederven vinden Milkoos vaderland !.. o zwaar tegenspoed !..	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2243.s.2	rampzalig offerhand ' !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2252.s.1	Ik zullen , zode wie doen zege op Mahomet verwerven , Meepligtig aan zijn ' vallen , helaas !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2252.s.2	u liefde durven ; En zode het geluk verkeerd , tot heil vinden Indostan , Dan schenken ik ik prinses aan snood Alikan .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.2252.s.3	ik willen , nu ik minnend harden uw eeuwig moeten ontberen , Stoutmoedig sterven , of uiten wanhopen triomferen .	Emotion_BodyPart_Love_Desire_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.2256.s.1	kunnen het zijn die Nadirs zode doen zege in twijfel slaan ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2265.s.1	Ik vrezen u ' keizer niet , dan om zijn krygsverraad .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.2265.s.2	ik vader , blootstellen voor het stalen de muitelingen , kennen all ' doen ontrouwen niet die hij na het leven ding .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2265.s.3	zijn gruwzaam doodsgevaar , ik plicht , u vorst , mijn eer , Ja al nopen ik tot gezwind tegenweer .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2265.s.4	Indien ik lang toeven , ik waar een ryksverrader .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2280.s.1	hebben voegen een ' heldenzoon te strijd voor zijn ' vader : Ik doemen de ijver niet die roemryk uw bezielen : mare alles u dapper vuist wij angstig heir vernielen , die dan , om ik allee , in doen ijselijk oorlogswoede , uw edelmoedigheid vorst Mahomet behoeden !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2280.s.2	Versma ik bede niet ; wijd all ' doen gruwlykheen Aan zijn keizer gunsteling , aan Alikan allee : Verhoor ik , die , in spijt de tweedracht ons staat , zode ik uw niet min mogen , uw echter nooit kunnen haten ; Die , daar gij wij leger dreigen , ik op u deugd betrouwen , En zelf , indien gei sneven , u dood bewenen zij .	Emotion_Hatred_BodilyProcess_Love_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.2285.s.1	gei doemen ik ' ijver niet !..	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2285.s.2	Ik moeten ik minnen verzaken !..	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.2285.s.3	Vaarwel : ik zullen stervend ik uw achten waardig manen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2294.s.1	o Nasser !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2294.s.2	Indostan !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2294.s.3	misleide Mahomet !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2304.s.1	Prinses , gei hebben misschien wij vaderland redden , de groot held verkloeken , hij al macht benemen , de zode , voor wij belang , de vader voor doel komen , zode gei die janhen prins , wie harden uw toebehoren , Door smeken , door geween , daartoe hebben aangespoort .	EmotionalAction_BodilyProcess_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.2304.s.2	zullen gei , een minnares , door traan , door bidden , Tot bijstand voor wij rijk geren ' minnaar overrijden ?	EmotionalAction_BodyPart_Sadness_Desire_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.2309.s.1	zijn Milkoos harden bekwaam tot zulk een snood bestaan ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2309.s.2	zij Nasser , op ik bede , zijn ' vader doel vergaan ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2314.s.1	u poging hebben te minst in het strijd hij verhinderen , die vijand overheert , wij groots gevaar verminderen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2334.s.1	moeten u verkeerd drift , Semire !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2334.s.2	een nieuw smarten Vermetel doel ontstaan in ik ellendig harden ?	Emotion_BodyPart_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.2334.s.3	Wat zij die jong held vinden Milkoos deugd gevoelen , Indien ik eereloos zijn schande dor bedoelen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2334.s.4	weerhouden die stout talen ; beklagen ik ongeluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2334.s.5	Ik zullen , terwijl ik ziel , mede onweerstaanbren druk , In het oorlogswee , doen zijde ' ik vaderlands moeten kies , Door het stalen ik maagschap , of ik ' bruidegom verlies .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2334.s.6	o Dierbaar overschot vinden ik beroemd slachten !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2334.s.7	gei worden deze ogenblik erbarmelijk ombrengen , Of overwinnen en moord lafhartig , onrechtvaardig , Een ' koning , die ik achten , een ' prins , ik liefde waardig .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.2334.s.8	Ik wensen voor u behouden een zege , die ik doemen ; Ik vrezen doen nederlaag een vijand , die ik roemen .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.2334.s.9	Ik zullen , het zijde gij in de strijd rechtvaardig worden verklaren , Of schandlyk overwinnen , vinden doen uitkomst ik beklagen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2340.s.1	bedenken die Nadirs deugd , die Nassers tederheid , die u besluiten echt voor u belang pleiten , En hopen , nu het krygsgerucht gelukkig zijn verdwijnen , ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2347.s.2	zij Nadir zien mede Indostan verenen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2347.s.3	Daar Mahomet , behoeden , ondankbaar hij versmaden ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2347.s.4	Daar heilloos Alikan op het gruwzaamst hij verraad ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2347.s.5	zij Nadir iets voor wij verrichten ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2347.s.6	zij hij kunnen ...?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2351.s.1	ik zien iemand naderen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2355.s.2	wij leger zijn verwinnen .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.2360.s.1	Milko , Semire , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.2363.s.1	Milko , tegen Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2366.s.1	Doorgrief ik beven harden door het ijselijk verhalen vinden zijn keizer nederlaag , vinden Nadirs zegepralen .	Fear_BodyPart_BodilyProcess_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.2388.s.1	Prinses , beklagen u ' ramp in doen akelig al nacht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2388.s.2	u leger , loods misleiden door doen omgekochte wacht , hebben nauwelijks door verraad ik ' vorst in wanen verrassen , alles yllings Mahomet door wij worden aantasten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2388.s.3	mare ( welk een omkeer ! ) ik roepen aan al kant :  Vorst Nadir zijn ontzielen , vermoorden door zijn trawant .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2388.s.4	 Op deze naderen krijten ontdekken zien het eedgespan vinden Persianen ; het roepen :  ik stry ' voor Indostan !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2388.s.5	 Al het vloekrot , nu bekennen , bestrijden door getrouw , worden door hebben wrekend stalen zeeghaftig neergehouwen , terwijl het Mogolsche heir , op wij gejuich ontstellen , In wanorde uiten de strijd na zijn verschansing snellen , Doch spoedig navolgen , en onbekwaam te strijd , de Persianen woede onmogelijk kunnen vermijden , Ja zien , te offerande , uiten laf siddering , uiten wanhopen , overgeven aan doen opheffen klink .	Fear_Joy_Emotion_EmotionalAction_BodilyProcess_Despair_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.2388.s.6	Prins Nasser zenden ik hier , om het volk te doel bedaren , Indien het , verbitteren , uw niet wild in het leven sparen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2394.s.1	ik doen ik sterven , nu ik vaderland vergaan , Nu in een kort dood al ik geluk bestaan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2394.s.2	mare leven vorst Mahomet ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2399.s.1	ik hebben niets vinden hij vernemen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2399.s.2	ik prins trachten zijn keizer dood grootmoedig voor te komen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2411.s.1	zij u meedoogendheid , o edelmoedig prins !	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.2411.s.2	die felgedreigden vorst iets baat ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2411.s.4	geenszins .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2411.s.5	vereren Mahomet !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2411.s.6	ontelbaar legerbenden !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2411.s.7	ik maagschap !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2411.s.8	ach !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2411.s.9	gei sneven in doen algemeen ellende ; En ik , die hopeloos u al plaag lijden , Die , afpijnigen , uw een zoet dood benijden ; vinden zelfmoord afschrikken , door wanhopen aandrijven ; Ik moeten , in dodelijk wede , u ramp overleven ...	Fear_Worry_Emotion_Envy_Desire_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.2411.s.10	mare hoe !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2411.s.11	wij naderen wij ?..	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2411.s.12	Wat heil ! het zijn Mahomet .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.2418.s.1	Mahomet , Milko , Nizamelmoluk , Semire , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.2418.s.2	Gevolg vinden Lyfwachten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2422.s.1	Wat wonder hebben ik ' vorst uiten doodsgevaar redden ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2426.s.1	Ik leven , prinses !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2426.s.2	ik leven , om schandelijk te sterven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2432.s.1	zij Nasser het moorden stalen in het bloeden een keizer verf ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2432.s.2	hij hebben ik ' wensen voldoen ; hij redden uw uiten de node , na zijn beloftenis : wat dreigen uw ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2438.s.1	Nadirs dood .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2438.s.2	Ik , vinden die moord verdenken , zijn het onheil niet ontwijken : doen prins hebben ik sparen , om zien op het felst te wreken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2449.s.2	verdenk hij niet ; verwachten op Milkoos bede , Op het smeken vinden zijn bruid , wel haasten een blijde vrede .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2449.s.3	Nu Nasser , ik te liefde , uiten edel mededogen , uw aan de overmoed vinden het krygsvolk hebben onttogen ; Nu hij , alles legerhoofd , uw zijn vermogen tonen ; uw , naar zijn ' vader dood , vinden dol wraken verschonen ; Nu zullen die zelfde prins wij verder onheil weer , Ja al u ongeluk in voorspoed doel verkeren .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.2464.s.2	waartoe de vorst mede ijdel hopen vlijen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2464.s.3	zijn dood zijn al zijn heil .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2464.s.5	doen edelmoedigheid vinden Nadirs groot zode , mede wij gevaar bewegen , zullen niets op het muitziek harden vinden het oorlogsvolk vermogen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2464.s.6	Die prins beloven uiten dwang die hij , zijn wraken te zoenen , Op wij de bende eisen door beul zij voldoen : hij zullen door het oog gezag de moedwil niet betomen , Indien hij weigeren die beloven naar te komen , zijn ' vader dood niet wreken in wij onschuldig bloeden , Een vijandin verhoren , vorst Mahomet behoeden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2472.s.1	wijd , wijd u ' vallen aan ik , o vorst ! ik hebben onvoorzichtig de hongersnood gemeld ; ikzelf zijn medepligtig , Door ik vermetelheid , ( o overmaat vinden druk ! ) Aan zijn vijand razernij , aan al u ongeluk .	Emotion_Unhappiness_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.2472.s.2	ik wild uw behoeden door een roeklooze onderwinding .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2478.s.2	u moede , u deugd ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2478.s.3	ik gunsteling , ik verblinding ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2478.s.4	ik wanhopen doemen uw niet ...	Emotion_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.2478.s.5	ik tong verstijven vinden schrik ... o ijselijk ondergang !...	Fear_Emotion_BodyPart_BodilyProcess
stee033tham01_01.TEI.2.text.body.div.div.sp.2478.s.6	Ik sterven elk ogenblik .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2482.s.1	zien Nadir !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2482.s.2	zien die vorst !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2482.s.3	o wonder !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2482.s.4	zien hij leven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2487.s.1	Wat heil !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2491.s.1	Hoe groeien ik angst !...	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.2491.s.2	ik doen ik spoedig sneven !	None
stee033tham01_01.TEI.2.text.body.div.div.stage.2497.s.1	Nadir , Mahomet , Milko , Nizamelmoluk , Semire , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2519.s.1	Ja beven , ondankbre !	Fear_BodilyProcess
stee033tham01_01.TEI.2.text.body.div.div.sp.2519.s.2	beven ; gei zijn in doodsgevaar .	Fear_BodilyProcess
stee033tham01_01.TEI.2.text.body.div.div.sp.2519.s.3	Onwaardig legerhoofd !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2519.s.4	verrader !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2519.s.5	moordenaar !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2519.s.6	Lafhartig vloekgedrocht , gewoon u woerd te schenden !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2519.s.7	Sneef , sneef op het straftooneel , in het aanzien mijn bende , In het aanzien vinden u volk , te onuitwischbre schande ' , het Heelal te voorbeeld ; strek een heilzame offerhand ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2519.s.8	ik hebben , alles ik ' bondgenoot , uw in ik heir ontvangen ; ik hebben , uiten meedoogendheid , in spijt vinden ik belang , u stervend volk spijzen , uw het kroonverraad gemeld , u ' scepter niet begeren , uw op de tronen herstellen : mare gei , vinden schaamte ontbloten , belust op gruweldaad , verbreken hebben vreeverbond , durven yllings ik verraden , Ja kopen ik wacht om , hebben eerloos ik vermoorden , het En waar ik al het verraad door list hebben opgespoort , Een loods gerucht verspreiden , doen ondankbre muitelingen verbijsterd , heen straffen door trouwen heldenklingen .	Emotion_Compassion_Shame
stee033tham01_01.TEI.2.text.body.div.div.sp.2519.s.9	gewaand Muzulman !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2519.s.10	wat doodstraf uw genaak ' , u yslyk wanbedrijf verdiend nog streng wraken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2524.s.1	Ik hebben , uiten blind drift , ik vorstelijk woerd verbreken , mare u verleiden wachten in moordzucht niet ontsteken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2528.s.1	ontkennen gei het gruwelstuk ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2535.s.2	zode gei weten Wat Alikan vermogen door onweerstaanbre list ; uw edelmoedigheid , betoond in ons plaag , En vreemd vinden zelfbelang , zij Mahomet beklagen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2546.s.1	Prinses , u tederheid , u voorspraak baten hij niet : hij stemmen in al het geren door Alikan geschieden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2546.s.2	betreuren geren ' snood vorst , die het heilige rechte beleedigt ; mare denken die ik gezag doen onnozelheid verdedigen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2546.s.3	vrezen niets : ik zullen , om u deugd , uw paar mede ik ' zode , uw , mede die echtgenoot , verheffen op de tronen vinden het machtig Indostan , uw lijden na ik staat , En Nizamelmoluk het bestieren in hand laat .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2554.s.2	ik wachten geren heil , indien ik keizer sterven , Indien uw overmacht zijn dierbaar kroos onterft : Ik willen veeleer mede hij hebben straftooneel betreden , Dan , door zijn ' ondergang , een plaatsen vinden eer bekleden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2558.s.1	gei tergen ik goedheid !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2581.s.2	ik onbaatzuchtig harden , die all ' doen aanlokkelijkheid de ijdel staatzucht tarten , die nooit zijn ' waar plicht vermetel hebben schenden , Aan het vaderland getrouw , aan zijn keizer eer verbond , Door zuiver gloriezucht op het krachtigst aansporen , begeren vinden uw geren gift , die uw niet toebehoren ; Ja het worden op het felst gezond , o vorst !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2581.s.3	nu gei durven denken die Nizamelmoluk , ontaard , zijn deugd zij krenken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2581.s.4	zullen het kroos vinden Mahomet u gramschap ondergaan , schonen het nimmer tegen uw een misdrijf hebben bestaan ?	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.2581.s.5	zullen het , vinden de tronen beroven , in ramp , in schande leven ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2581.s.6	Of zullen u streng wraken doen onschuldigen doel sneven ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2581.s.7	Betoon die gij over heen grootmoedig uw ontfermen , zij erfdeel niet begeren , doen onnozelheid beschermen .	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.2581.s.8	zij doen Indostansche kroon de roemen uw zoon vergroten ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2581.s.9	maken vinden prins Nasser , uiten u heldenbloed spruiten , geren ' ryksgeweldenaar ; bezwalk zijn ' lustre niet ; laten zijn keizer waardig kroos hebben wettig erfgebied .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2592.s.1	zij Milko mede doen kroon vinden Indostan zien strelen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2592.s.2	Ik , mede u ' zode vereend , in doen eeuwig oneer deel ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2592.s.3	Ik doemen zijn liefde niet ; hij zijn mijn achten woerd ': mare ik sidderen , zode u macht ik mede een ' dwingland paren .	Fear_Emotion_BodilyProcess_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.2592.s.5	wild gei het kroos de keizer niet verschonen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2592.s.6	Wat nopen uw dan aan ik een wreed gul te toon ?	None
