rivi001vero01_01.TEI.2.text.body.div.head.230.s.1	doen verovering vinden de Briel , Of grondlegging de bataaf vrijheid .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.2	Daar ik worden opleggen Te rome zulk bestaan , hebben ik zo velen gezweegen alles enig geestelijk lid daarvan gezweegen hebben ; mare alles wij Paus en Vorst bevel tot spreken geven , wij durven die oog gezag moedwillig weerstreven ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.3	wij zwijgen dan het voorschrift stillen , te lezing hij geven ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.4	Dus spraak wie allee ; doch deze zijn nooit geschieden mede mijn vrijen willen , mare enkel mede verdrieten : En zijn ' er onder wij wezen die bitter spraak , kunnen ik , rampzalig , een ander doel dan raak ?	Emotion_Sadness_Spitefulness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.5	zijn ik daar schuldig aan ?...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.6	Ellendig Nederland !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.7	Wat hand uw boven het hoofd een wolk vinden oorlogsbrand !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.8	Wat stroom bloeds zullen gei nog uiten uw adren loos !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.9	Hoe zullen hij die de wegge te strengheid hebben verkoozen Nog zucht !...	BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.10	Hoe zullen hij , die zo velen mensenbloed vergieten , in het einde leren door ramp en tegenspoed , zien die geweldnary en bitterheid beklagen !	Emotion_EmotionalAction_Hatred_Remorse
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.12	staan ik bij !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.13	Ik hebben een delen de slag , Door striem slechts , gevoelen , die het landen nog voelen zullen , Eer al tirannie alhier geraken te vallen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.14	Ik hebben het beginnen zien vinden Nederlands kastijding , En hebben nu weer het beginnen zien vinden zijn bevrijding ; sparen , Hemel , ik hebben lijf !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.15	om nog het beginnen te zieden die zulk vervolgen stuiten , en vinden zijn ' grond doen vlieden !	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.2533.s.1	Einde de vierde bedrijf .	None
rivi001vero01_01.TEI.2.text.body.div.head.2537.s.1	vijfde bedrijf .	None
rivi001vero01_01.TEI.2.text.body.div.stage.2541.s.1	Bossu , Lodogno , Spaansche wacht .	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.2543.s.1	Bossu .	None
rivi001vero01_01.TEI.2.text.body.div.sp.2557.s.1	Ik vrezen liggen , alles gei , zo het water verder bruisen , En over deze dijk , alles in doen laagte , ruisen : mare nu wie op hebben landen nog droogvoets kunne gaan , schijnen aan de Zuidpoorts-Muur hebben storm wij geraden .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.sp.2557.s.2	Ik geven Furtado lassen om daar , mede Oorlogsknechten , doen ladder zeer gezwind en moedig op te rechte , terwijl ik hier , rusten en klaar genoeg , kunnen zieden het Beklimmen vinden de waal en hoe doen Geuzen vlieden , Hoe hij doen Stad verwindt en brengen in zijn Konings hand , Eer vander Mark zien zelv ' daar vestigen te ons schande .	None
rivi001vero01_01.TEI.2.text.body.div.sp.2557.s.3	Ik horen nog geren gerucht aan d ' een ' of ander kanten : Misschien hebben ons komst zij harden rijden overmannen , Door zulk een ' doods schrik , die zijde doen veest verlietten .	Fear_Emotion_BodyPart
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.2559.s.1	Lodogno .	None
rivi001vero01_01.TEI.2.text.body.div.sp.2567.s.1	het schijnen buit al stillen ; wie horen nog geren schieten , Om die ' er op de Muur , of op doen zwak Poort , geren aanval zijn braden ; mare alles doen brandklok , moord , En stormen , en onraad kleppen , en het donderen de kartouw het Gehoor verdoven zullen , kennen het uw nog wel berouwen die gei , door het water zelf verwittigen vinden zij vlijt , Niet weer te rug gaan , mare voorttrekken zijn .	Emotion_Remorse
rivi001vero01_01.TEI.2.text.body.div.sp.2582.s.1	waarmee zij vander Mark wij weerstand bieden kunnen ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.2582.s.2	hij hebben geren Houwgeweer , musket of kanon , En , voor een handvol volk , bijna geren kruid en lood ; doen burger zijn meestal vluchten , of niet zo snood die zijde die trots graven rebellig bijstand bieden ; wan zijn hebben ooit gebeuren die ingezetene ' lied de Konings macht weerstaan , woord straks zij Stad , door het zwaarte En Vuur , geheel verdelgd : dus zijn ik niet vervaren Voor tegenweer : Lumey hebben Brielle rijden verlaat ; bezetten daar schans en waal mede moediger soldaat ....	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.sp.2582.s.3	mare , Hemel !...	None
rivi001vero01_01.TEI.2.text.body.div.sp.2582.s.4	Wat zijn deze ...	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.2585.s.1	Lodogno , zien een gedeelte vinden vuur , en hoorende hebben afgaan vinden kleed Geweer .	None
rivi001vero01_01.TEI.2.text.body.div.sp.2590.s.1	hebben zijn het musket gekraak de Geuzen , die , te wel gewapend voor zij zaak , In het geren ik Nieuwland noemd , wij Krygsvolk lastig val ; Hoe zullen het wij dan vergaan in het storm op doen wal ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.2596.s.1	deze Handgeschut kunnen wij bijna geren hinder doel : hebben zijn stuiptrekkinge vinden zwakheid .	None
rivi001vero01_01.TEI.2.text.body.div.sp.2596.s.2	willen uw spoeden En doen straks op de Muur de Konings standaard plant .	None
rivi001vero01_01.TEI.2.text.body.div.sp.2602.s.1	Wanneer wij Kruis , in het ogen vinden Lumeys vloekverwanten , Al wendlende , op doen veest , voor uw te pronken zullen staan , stellen dan doen zege vasten , en treden zelf Stadwaards aan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2606.s.1	Bossu , allee , mede Spaansche wacht , terwijl hebben Schutgeweer al nader en naderby woord lossen branden , zo die ik ' er eindelijk hebben vuur vinden zien .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.1	het geschieden woord weer herhalen , mede meer wellen en kracht !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.2	Wat roekeloos bestaan !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.3	wij hebben ooit durven wachten , die breideloos gespuis deze ondernemen zij ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.4	bij het schenden vinden zij ' eed , en het breken zij trouwen , hebben deze weerbarstig schuim , aan zwaarte en strop ontdooken , vinden Zeeroof zien geneerd , en dikmaals het lijden wreken die hun medemaats rechtvaardig overkomen .	EmotionalAction_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.5	naar die verwaten hopen moedwillig ondernemen zijn land Sleutel aan doen vuist de Konings stout te ontvreemen , gelijk deze Eiland zijn , moeten elk terstond vernemen die zijn Bossu een landen Stadhouderlyk gebied , hij , door verzuim , geren Stad te roofnest worp laten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.6	mare hoe ; hebben water wassen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.7	en het kletteren de musket schijnen aan Furtadoos moede doen nadring te beletten !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.8	zijn toeven nu Sanchio !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.9	Daar bulderd hebben Kanon !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.10	Ach die wij Krygsvolk straks hebben storm mare beginnen ....	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.11	Welaan ik zullen dan zelf daarmee beginnen doel maken .... o Hemel ! ik zien vinden ver ' door het vuur ik schip blaken !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.12	doen vlammen vliegen hoog op , terwijl doen Krygsknecht wijken !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.13	Ik zien hoe ik ' Soldaat in moede en kracht bezwijken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.14	Een klein waterstroom zijn tot een Zee gewas !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.15	ik volk versmoren in slijk en slibbrige moeras !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.16	Hoe raken ik door de vloed weer bij doen mijn !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.17	ach !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2632.s.18	Gelukkig zo ik voor ik een ' wegge te uitkomst zien .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.2637.s.1	Bossu , Furtado , Spaansche wacht .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2639.s.1	Furtado .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2654.s.1	mijnheer , hebben zijn braden , wie zijn alreeds verwinnen , Eer nog , vinden ons zijden , een aanval worden beginnen : geren dapperheid , of moede , of vijandelijk geweer , Ontruktten wij hebben harden ; geren water hebben zo zeer wij doel te rug gaan , dan het schenden ons kiel , Waarop doen Geuzen straks alles dol tijger vallen , Die steken in de branden , of vinden de oever af , Of boren in de grond ; deze scheiden wij volk een Graf , Waarin wie altemaal ellendig zullen smoren ; Waarom zijde dadelijk de wegge te vluchten verkiezen : doen dapperste nochtans zijn willig en bereiden , Om uw , wij Opperhoofd , in al veiligheid , eest op Nieuw-Beyerland en voorts op dorren te brengen .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.2659.s.1	Bossu , Lodogno , Furtado , Spaansche wacht .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2679.s.1	gei zijn verplichten , Heer graven , wij wijken te gehengen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2679.s.2	de Konings dienst vereisen die gei op heden zwichten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2679.s.3	Ik hebben , zo velen ik kennen , voldoen ik ' Krygsmans plicht ; mare het wassen onmoogelyk die wie doen vluchteling , bij het brand ons vlieden , tot d ' aanval kunnen dwingen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2679.s.4	verwachten haasten goed tij , die liggen in het korten verschijnen ; de Kastiljaanen deugd , zo dra zij vrezen verdwynd , zullen Brielle , op het onverwagtst , herwinnen voor de Koning ; mare straffen dan schrikkelijk en denken om geren verschoning .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.2679.s.5	geren rechte gelovig doel Kettren onderstand , gelijk deze burgerij ; steken dan zij Stad in branden , Om die zijde het Muitgespan daar binden lietten trek : zij vallen zullen doen ander stad te tomen en breidelstrekken , Om meerder trouwen en vlijt , voor Vorst en Opperheer , Voor Kerk en kerkdienst te toon .	Emotion_Dedication_Loyalty
rivi001vero01_01.TEI.2.text.body.div.div.sp.2679.s.6	het strekken tot eer vinden uw en wij al t ' saam ' , in het vorstelijk vermogen geren kreuken , vinden het muiten grauw , geren schending , te gedogen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2683.s.1	het zijn tij , en meer dan tij , te wijken elders heen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2695.s.1	wij volk geraken , door slijk en water , rijden bye en En hebben Nieuw-Beyerland , na het schijnen , te wijken verkiezen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2695.s.2	velen Vaartuig , die doen Geus niet kennen te grond boren , zijn , zwemmen uiten de stroom , aan d ' oever weer brengen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2695.s.3	Lumey , mistrouwende zijn al te zwak macht , vervolgen geren vluchteling , mare laten heen vrijen vergaren : Dus zullen , in Dordrechts waal , zij siddring ras bedaar en ; Waarna gij uw wreken en kunde vinden deze honen en smaad .	Fear_EmotionalAction_BodilyProcess_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2699.s.1	mare zo ik daar voor wij doen poort sluiten laten ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2703.s.1	Dan gaan wie Rotterdam , in al ijl , bezet .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2708.s.1	En zo zijde wij aldaar de intred ook beletten , Wat dan , in het einde , braden ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2727.s.1	Ik zullen wel maken die ik wij daar binden laten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2727.s.2	wie moet deze Stad verzekeren voor de Vorst .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2727.s.3	Ik kennen zij Burgerheeren , En Vroedschap , voor zeer zacht en minnelijk in het regeren , Waarvan ik lichtelijk doen ontsluiting een Poort verkrijgen zullen ; te meer , zo ik ik spreken horen In hun raden , vinden wieden ik hebben doorgaan slechts zullen vergen , Voor ik en voor ik volk ; mare zo ik ik durven tergen Door weigring , zullen ik heen nog zacht ondergaan , Om wij , in zijn Konings naam , de doortocht toen te staan mede weinig volk gelijk ; doch niemand krijgen wij buit , naar wie een binden zijn ; en trachten ik wij te stuiten , In het werkelijk bezitten te nemen vinden de waal , doen poort , en wat meer wij dienstig schijnen , dan zullen wij Rotterdam het verliezen , alhier lijden , betalen , En elk die weerstand bieden , te duister affront dalen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2739.s.1	u aard komen wonderbaar mede d ' ons overeen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2739.s.2	u heldenhart zijn vreemd vinden al wat gemeen , Laf en flauw moedig zijn .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2739.s.3	gei zijn een Nederlander , mare meerder spaans vinden aard dan doen ander mede elkander ' .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2739.s.4	gei laten wij wraakzwaard vrijen , gei dulden de Kettren straffen En zijn muiter ondergang !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2739.s.5	dus zijn gei flauw nog laf , mare edel , groots vinden ziel , en waardig die uw het leven uiten Spaanschen , in hebben rijk vinden Spanje , wassen geven .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2744.s.1	zo gij Alvaas krygsmoed paren mede uw ervaarenis , zeggen elk , die Held Bossu een waar Spanjaard zijn !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2749.s.1	sluiten altoos u gehoor voor zijn burger jammer klacht , wild gij alles een Kastiljaan uw eren zieden en acht !	Honor_Emotion_EmotionalAction_Despair
rivi001vero01_01.TEI.2.text.body.div.div.sp.2774.s.1	schonen ik niet altijd hebben oor willen sluiten voor genae , ik wraken staan heden vasten , te zijde een groot schae Dan deze , en zij gevolg , ik oogmerk doen vertragen : ik zullen , mede een nederland harden , doen muiterij belagen .	Emotion_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2774.s.2	wie gaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2774.s.3	mare vander Mark , beven , schrik en sidderen vrijen , Wanneer ik wederkome !	Fear_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.2774.s.4	u trekken tot roovery , u heerszucht , en u lusten tot schenden en vernielen , Dryfveeren die u vluchten en rapheid meer bezielen Dan het heil vinden Nederland , doel uw slechts werkzaam zijn Tot zijn burger ondergang .	Emotion_Other
rivi001vero01_01.TEI.2.text.body.div.div.sp.2774.s.5	Barbaar , mede welk schijn mengen gij uw in ons twisten , mede uw Luikenaaren ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2774.s.6	gei en Sonoy zijn hier mare vreemd en barbaar , Die wij verschillen niet raken !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2774.s.7	zijn gei u voeren zetten honen gei doen Kerk en klinken de Beeldenstorm-Trompet !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2774.s.8	Ontmenschte , uw hels bedrijf aan geestelijk persoon , kunnen u bloedgierig harden en wreedheid elk vertonen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2774.s.9	Doch naar gei wij het beleggen zien slaan om deze waal , En stormen op stormen u drift en wrevel mindren zullen , Bossu doen Stad herwindt , die gei niet kunde bevrijden , Dan zullen hij , o Lumey !	Emotion_BodilyProcess_Anger_Annoyance
rivi001vero01_01.TEI.2.text.body.div.div.sp.2774.s.10	uw zo gestreng kastijden , die al u vreemd gevolg , door deze straffen ontroerd , Nooit weer de Geuzen Vlag op zijn Hollands bodem voeren .	Emotion_Moved
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2780.s.1	Manriques , allee .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.1	vertoeven , Bossu !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.2	vertoeven !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.3	Ik zien ik vriend vlucht , En moeten alhier , te prooi vinden Muitelingen , zucht !	Fear_BodilyProcess_Unhappiness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.4	Oproerig volk , durven gei u ' Koning tegengaan , wie Landgebied doen zinnen steeds in zij ' dagge zien staan ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.5	Die nergens weerga hebben in rijkdom en vermogen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.6	ellendig !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.7	gei zijn in uw hopen bedriegen , zo gei iets hoop durven vinden u gering macht !	Emotion_Hope
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.8	Wat baten u tegen weder , daar u te zwak kracht u dwaasheid kennelijk maken en ganschlyk zullen bederven ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.9	rampzalig !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.10	gei zullen alles landen verrader sterven , te zijde gij uw ras verzoenen mede ons Vorst en Kerk !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.11	Niets kunnen uw redden , niets , dan zijn hemel wonder werken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.12	mare ik , aan welk een ' kanten zullen ik thans uitkomst vinden !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2800.s.13	Hier zwaaid geren Kruisvaan meer , daar ik verbaasd vriend , Te zeer doorschrik geraken wijken zijn na het stranden , ik laten , wonden , in zijn muiter wreed hand , Nu ik hier geren schuilplaats zien zijn ik ik kunnen versteken ; wild het Veld , benedens Dyks , verkeren in waterbeeken , geren lichaam zo verzwakken alles het mijn wijken laten .	Fear_Emotion_Wonder
rivi001vero01_01.TEI.2.text.body.div.div.stage.2804.s.1	Manriques , Rochus .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2811.s.1	Ik hebben de Spanjaard schonen vernesteld !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2811.s.2	al gaan wij nu voorwind .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2811.s.3	Ja wel , wat staan die volk te kijken Wanneer zijde voor de vloed , alles uil , moeten wijken !..	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2811.s.4	mare wat zijn gei voor een ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2813.s.1	Manriques .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2820.s.1	Ik zijn een Edelman , treffen door een lood , en die , verlaat vinden ik Volk , in zijn Konings dienst , alhier mede roemen zullen sneeven ....	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2820.s.2	Ik waag hebben sterven af en haten hebben schandlyk leven , Indien ik het vinden doen gul de Geuzen ooit genieten .	Emotion_Hatred
rivi001vero01_01.TEI.2.text.body.div.div.sp.2825.s.1	Ik zijn een Geus , die nooit een ' Kastiljaan doorstiet , nog aan doen geestelijkheid doen hand hebben schenden ,	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.2830.s.1	Treslong , Manriques , Rochus .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.2830.s.2	Gevolg vinden Bootsvolk en soldaat .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2840.s.1	Vriend Rochus , Burgerheld !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2840.s.2	nu hebben ik ondervinden die gei , kloekhartig manna , doen goed zaak getrouw , Een steunsel worp zullen vinden het vrye Staatsgebouw , hebben welk Oranje zelf vinden hier zullen op doel recht , naar zijn Doorluchtigheid , vinden duizend Oorlogsknechten volgen , hebben spaans wellen om ons willen weerstaat ; hij hebben de Grond leiden waarop ik bouw gaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2849.s.1	schonen het gans Nederland , in een verbinden treden , uw Konings eisen weerstondt en elk aldaar doen schrede vinden Nassaus volgen dor , wat baten het ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2849.s.2	niet mede all '; Aan welk een ' kanten zij het volk ontwyken zijn vallen ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2849.s.3	geren Koning zijn doen wraken vinden ons Vorst ontwassen , wie Septerstaf gebied doen beide waereldassen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2871.s.1	ik vriend , wreken uw niet op deze Kastiljaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2871.s.2	gei , afmatten door het bloeden , zullen geenszins straffen ontgaan , mare sneuvlen , schonen wie niet doen hand aan uw schenden ; Neen , het zijn wij meerder eer uw Konings Legerbenden , Die rijden te strijd zijn , te val op hebben lijf .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2871.s.3	zien doen overwinning rijden wij loffelijk bedrijf bekreunen , daar zijde wij hebben hoofd , mede Krygs laurier En Eikebladeren , haasten meerder zullen versieren !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2871.s.4	wie zullen dagelijks aangroeijen in gezag , mare Spanjes heerschappij zullen mindren dagge op dagge .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2871.s.5	gei , die in al uw gedragen hebben alles mennen , laten Spanjes aanhang wij vrijen doemen en verbannen ; gei hebben te dienst vinden het Volk en het lief Vaderland , doen schip vinden Bossu bederven of verbranden , En Rochus deedt deze landen mede water overstromen ; Door hij en wij zijn meest doen zegepralen bekomen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2871.s.6	Daar deze Paasavondstond , hierna altoos denken , In zeegning blijven zullen bij het roemryk nageslacht ,	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2875.s.1	Op welk grond kunde gei die ydelheen geloven ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2884.s.1	Die denking , week aan wij woord instorten vinden boven , zullen niet in ijdelheid verdwijnen , alles gei hopen , mare wezenlijk bestaan ; dus woord doen macht slopen vinden Spanjes Mogendheid , wanneer Philips deze land Voor vrijen verklaren moeten , verbreken al band waarmee hij die , tot nog , gestreng binden houden .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.2889.s.1	Vander Mark , Treslong , Manriques , Rochus , Gevolg vinden edel , Bootsvolk , en soldaat .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2901.s.1	Nu triomferen wie .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2901.s.2	die elk , mede vreugde bezielen , deze blijde avond vieren ' , mede allerlei gezang !	Joy_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.2901.s.3	die deze Saterdag , waarop wie wij verlangen verkrijgen , wennen vinden hier doen Spanjaard zijn verjagen , bij al het Batavisch volk de naam vinden heilryk dragen , gelijk hij waarlijk zijn !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2901.s.4	wie kunne , zonder vrees , In deze tij , vernoegt en luchtig vrolijk wees .	Joy_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.2901.s.5	Wat Spanjaard hebben zien daar op een struik plaatsen ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2905.s.1	hij zijn gekwest , mijnheer .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2910.s.1	zorgen dan in al haasten , uw broeder bloeden te zoenen , die gei hij op doen knop .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2915.s.1	Neen , geren verwonde schelm , die niet meer voor kunnen lopen , mogen mijn wraken voldoen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2924.s.1	zijn hij u ' toren ontwaard , hij hebben doen doodstraf tocht verdienen .	Emotion_Anger
rivi001vero01_01.TEI.2.text.body.div.div.sp.2924.s.2	wie moet doen aarde ' vinden spanjaard zuiver , zo velen wie immer kunne , En zij geren ogenblik hebben leven lang gunnen , Dan ik hebben leevenslicht zij niet ontneemen kunnen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2924.s.3	Verfoeilyk Dienaar ....	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2929.s.1	Neen , ik zijn een Edelman , In zijn Konings dienst wonden , daar ik op het pad vinden eer ....	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2932.s.1	Vander Mark , hij , te einde zijn rijden , doorstootende .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2935.s.1	u ' roemen in schande zoeken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2935.s.2	die hij nooit wederkeere vinden zijn hij komen ' ....	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2935.s.3	gade heen , u bloedrol zijn volspeeld .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2938.s.1	Manriques , te neder storten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2940.s.1	Barbaar !... o Hemel !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2940.s.2	ik sterven .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2962.s.1	gei hebben ik langen vervelen .	Emotion_Annoyance
rivi001vero01_01.TEI.2.text.body.div.div.sp.2962.s.2	Al zijn ik spanjaard vinden , hebben zijde in modder poel , Of halfverdronken landen , doen zij doen straffen gevoelen , Door heen voor wij bereiden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2962.s.3	Die beul moet voor , En wat hier geestelijk zijn zullen sterven door doen koord .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2962.s.4	Voor ik geren blyder uur dan die ik ik mogen wreken , En mede mijn eigen hand zij wreed vlighart door steker .	Joy_Emotion_EmotionalAction_BodyPart_Vindictiveness_Annoyance
rivi001vero01_01.TEI.2.text.body.div.div.sp.2962.s.6	die ik een ik wraken aan Alva koel kennen ' !	Emotion_BodilyProcess_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2962.s.7	Welk een geluk zo ik die bloedhond overwinnen En krijgsgevangen zien !	Emotion_Happiness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2962.s.8	hoe zij ik ik vermaken , In hij doen wreed ziel , al spartelen ' , te doel braken !	BodyPart_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.2962.s.9	Wat zij ik foltering voor hij verzinnen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2962.s.10	ja Ik zij aan die tiran hebben zwaarte vinden ongenade , mede meer dan hels pijn , op het schriklykst , doel geevoelen En in zijn lauw bloeden ik heet drift verkoelen !	EmotionalAction_BodilyProcess_Anger_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2962.s.11	zijn lillen ingewand worden lang de grond sleuren , Daar zijn moord zuchtig harden , te boezem uitscheuren , ik tand , tong en mond , te bitter prooi verstrekken .	None
