vond001pala01_01.TEI.2.text.body.div.head.375.s.1	J.V. Vondelens Palamedes of Vermoorde Onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.19	ook schuilen hij voor doen ponjaard vrijen , Die , achter doen tapisserie , de manna vinden staat hebben lijf ontzeggen , En zijn voorspoed liggen liggen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.20	geren ' vrees maken hij het leven zuur .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.21	doen gul de volk die wispeltuur , En wuft nu stroken , nu steken zijn heer , hij zonder hartzeer mogen ontberen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.22	vinden het bed hij niet worden opkloppen Half suyzebollend : noch ik stoppen Syne hand vroeghmorghens niet vol schrift , ik zullen zijn ' omgang niet sisten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.23	mijn huysgoon niemand wrok bespieden .	Emotion_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.24	ik mat hij door velen aenspraecx niet ; nog ' zitten beschanst in zijn ' papier , Die door doen slaafs zin zwieren .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.25	hij ziddert niet voor zijn priester stemmen , Die al zijn ' vuilnis vegen aen hij , En schelden zijn ' landsheer voor een ' bengel , En veinzen zien god gezant en Engel .	Fear_BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.26	Door zo velen ' kleppen en gevaar , Door het onweer , die doen wichelaar mede lastertongen wekken steeds , drijven d'afgesloofde Palamedes .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.27	zijn ' schipbreuk zietmen te moeten : te zijde Neptuyn zijn wettig bloeden verschonen , en , aengebeen om bijstand , doen zee besadigh mede de drytand .	None
vond001pala01_01.TEI.2.text.body.div.head.2520.s.1	doen vieren handelen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2524.s.1	OATES .	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.1	nul Chalces !	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.2	die doen stranden bekleden mede praal vinden huis : En telkens sevenwerf hoord in een etmaal bruisen Euripius pekelschuym , zo vaak mede zand vermengen , hij uit d'AEgeesche zee wellen vinden golf brengen , En steken zijn hoorn op , en komen uw hoog muur , En Aulis have diep , en wederzijds d'oevers schuren : nul vaderlijk stad !	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.3	hoe luttel voeltge nog , Hoe Argos wrok , en wraak , en het Cephaleens bedrog ik ' ongerusten geest afmatten , en vermoeien : Hoe vrezen en hopen in ik nu eb , nu weder vloeien .	Fear_Worry_Emotion_Hope_BodyPart_BodilyProcess_Vindictiveness_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.4	Ach vader Nauplius !	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.5	uw afkomst zijn in node .	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.6	ik dingen hij naar de hals .	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.7	hij worstelen mede doen dood : ik toetsen doen lastering , ik schouwen hij vrome , en echter ik goed hij naar , en stellen zijn ' vijand tot zijn recht .	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.8	hij die doen tong , doen mond , en schild de vrijheid zijn , zijn vrijdom nu ontberen , in zwaar vangenis .	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.9	Hoe kunnen Ulysses doch een wettig vonnissen spreken ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.10	wie haten niet liever wensen alles zien aen hij te wreken , vinden sedert die hij slepen uitzinnig het ploegespoor Aen stranden , doel Palameed hebben kind liggen in doen voor : waar door hij fijn bruid Penelope mos mis , Om , Sparten te geval , doen schandvleck uit te wis vinden Menelaus bed , en namaels alles doen Thrax hij afslaan zijn verzoek , en mijn broeder straks Afveerdighde mede graan , doel het schier wassen omghekomen , hebben d'oudewrock allencx in felheyd toenemen : Meer zaak ik verswijgh .	Emotion_EmotionalAction_Hatred_BodilyProcess_Vindictiveness_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.11	wat Tydeus zoon belangen , Dats een soldaat , die gans aen Agamemnon hand , En vinden zijn hand vliegen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.12	mare woerd voor al , nul griek !	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.13	die doch doen rasebol , die niemand kwalijk ruiken , Of lucht mogen , en scherp twee woord spel kunnen , te vierschaar niet en gade , noch over zulk een ' manna , noch over zijn daen een onrijp oordelen stamer : zijn ' domheid worden berijden vinden ons vogelraemer : Thersites bolderen uit wat Calches denken of dromen : d'Onwetentheyd die maken hij stout , en onbeschroomd .	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.14	Kortom , loftuytery , en baetsucht zien wie heden , En loshoofds dom kracht de rechterstoel bekleden : deze wichelen ik niet goed .	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.15	ik broeder zijn verraden : zijn hater meester zijn .	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.16	hoe of deze willen vergaan ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.17	mare zien ik herwaarts niet de groot Ajax tred : zijn aanzicht zijn vol vuur : hij morren , en schijnen t'onvreden : goed zoeken ik heul aen hij .	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.18	nul soone vinden Iupijn !	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.19	Wat tydingh brengen gij wij ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2576.s.20	zullen bede , onderschijn vinden rechte , d'onnoselheyd ik broeder sneuvlen moet ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2580.s.1	doen noytverdiende pee , en straf zullen hij boete , het En zijde hebben worden schudden .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2582.s.1	OA .	None
vond001pala01_01.TEI.2.text.body.div.sp.2585.s.1	Wat zullen ik goed bestaan ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2585.s.2	ik zijn raedeloos , wat raad ?	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2587.s.1	AJ .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.1	ik neef doen Peleaen Te Lesbos worden verletten : het zijn d'Ithakoische treek : ik hebben mede voordacht door d'Atryden deze besteecken : mare zonder die , wie twee doorhieuwen mede wij staal zijn gevangene band , zelf in spijt vinden logentael , En valscheyd , die doortrapt deze naar haar ' wensen beschikken , En zijn vorstin braaf ziel , en wakkerheid verstrikken mede openbaar wellen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.2	zijde willender ik voor .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.3	foei , die dus Atreus zaad doen vorstin ringeloren .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.4	foei , die zo groots een manna voor sulc een snood vierschaar betrekken , plengen zijn bloeden : die naderhand zo dierbaar zullen worp gewaerdeert , alles het klagen zijn te laat , En Grieckenland doen luchten mede droef weergalm slaan vinden klacht , en gehuyl : wanneer doen vlecht hangen , En hand gaan in het haar : doen traan lang haar ' wangeu Afbiggelen bedrukken , en het schelmstuck worden verfoeyt .	Emotion_EmotionalAction_Hatred_BodyPart_BodilyProcess_Sadness_Disgust_Despair
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.5	mare die d'aertswichelaer veinzen hier onder roeien , mede zijn doortrapt tong , en koesteren ons plaag ; En bakeren wij bederven : die zijn zonde te verdragen : die in zo fel een ' branden hij voeden olie gieten : die een verlopen Phrijgh gans griek doen verdrieten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.6	hebben lustme ditmaal een zijn leven te doorlopen zijn vader Thestor heet : wie hersenen hebben doorkruipen het Half levend ingewand de dier , zo hij zeggen , En noemen zien een ' zoon vinden Phoebus , en Agley , En letten op vogle zang , op spook , en ijdel droom , Op drift vinden God , en geest , op het ruisen vinden doen boom , En zijn hemel aangezicht , in het aldernaeste dorp , het welk roken bij hebben lek , omtrent een ' slingerworp .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.7	Hier queeckte hij Calches brein , en leren hij deftig klap .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.8	En grol mengen in landen nut wetenschap : En ramen op een haar , naar d'hayren vinden een ' doch , doen korrel vinden een ' vijg , doen big vinden een zeug , Die ronden en zwanger gaan , na'et maecxsel vinden haar janhen : En oefenen zijn ' geest op drie , op zeven springen , En het wettelijk gebruik vinden woerd en letterkracht , zeef , bekken , en gebeente .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.9	vaak lei hij hij bij nacht Op Idaes hoog kruin , en staren en doen ster , geven diep raedsels uit , en laten zijn ' zoon ontwarren verward vragen , en ontstricken knopen , daar Een Godschalck Arabier , of oud Egyptenaer , Of indiaans Branman om zweten zullen , en hygen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.10	Hier prachte Calches met , om noodtdufts eis te krijgen , En bedelde achter landen , gelijk hij wassen gewend : Tot die Laocoon en Panthus hij in het einde verwerven gul bij het hof : deze weten hij zo te smeken , Door ijdel lof , en door het opproncken de gebrek , die hij verkiezen waard aertswichelaer vinden het rijk : doel blazen hij hoorvaerd op : doel acht hij zien gelijk Een ' heilig vinden het outaer : en die zo koorts gaan beedlen , Hoonde al tempelier , en bengelen zijn land edel .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.11	zijn ' trotsheid barsten terstond tot boos stuk uit : Door gaylheyd hij ontmaegde een ' streng verloofd bruid , de bruidegom te geval : deze tuygt doen grijs Nestor .	BodilyProcess_Love
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.12	de schim vloeken hij toen zijn ' oude vader Thestor .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.13	een ander bedgenoot , al t'eerloos vinden gemoed , Tot schennis hij verzien , en maken haar kuyscheyd vroed , die niemand Minos hebben noch Cerberus te vrucht , die Styx en Acheron zijn moolocken , en klucht .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.14	Eurypilus bedekken hebben overig veulen Sijns meester , tot zo langen hij bloo , gelijk een uil vinden ieder een verpickt mos Ilium begeven .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.15	doel komen hij al berooid in Grieckenland drijven Aen Agamemnons hof , en vlammen op het oud genot : Wtgevende : hoe hij zijn nacht door inspraeck vinden de God Apollo wassen vermanen uit Trojens slot en wal Te vlijen , om t'ontgaen doen dreygende ongeval , Die het stamhuis vinden Dardaen nu hangen over het hoofd .	Fear_EmotionalAction
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.16	deze nemen wij Priesterschap zo in , en het waard geloven vinden het volk .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.17	doen faam gaan voorts door al stellen stro Hoe Calches hebben gezien de hogen burcht vinden Trojen Verweldight , en doen wachten in het sluimeren doden , En vinden het Palladium Minervaes kerk ontbloten : doen Sceesche poort beroven vinden wijl Konings as : het Pallays mede vlammen omringen , en het Griecxsche zwaard verrafschen doen stad , vinden wijn en slaap bedelven op haar ' feest : ja tot waerteecken nog , hoe zijn ontwolckte geest doen vijandelijk god op Ilium bijten zien waar .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.18	Pallas op doen kruin vinden slot zitten , mede helm en beukelaar , vasten drillen haar ' taeyelans , En schudden haar ' pluim .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.19	Belloon die blazen vinden zijn toorn trans , En steken haar ' moordtrompet .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.20	doen vader heten ontsteken Door wraak zelf arm stijven , en zenuw de griek : verschaffen zij moede , en drijven doen god op de Dardaen , En op zijn ' wapen mede kracht en ijver aen .	Emotion_BodyPart_BodilyProcess_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.21	zijn ' wreed Iuno , mede de aengegorden degen , doen Sceesche poort bezet , en houden alleszins doen weg , En toepaen veilig , lang doen zee en waterkant , En roepen mede hees keel doen Krijgslien vinden doen stranden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.22	doen vlieden geven drommel uit de ander tot bijstand .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.23	Neptuyn die schudden vasten , mede sijner gaffel dryetand , zijn muur oud grondvest , die zo diep wortel schieten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.24	doen Priesterschap verbaasd , en al besterven vlieden Om troosten naar d'outers toen , naar Godgewijde drempel : mare al vergeefs , helaas , zijde vinden al tempel verlaat vinden doen god , vinden heiligdom , hebben keur : zijde wieroken te spade : geren ' godheid geven gehoor .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.25	daar spoken mede haar toorts doen wreed razernij , mede slingerslangigh haar .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.26	ik zien aen al zien doen stad te vallen doemen , zo raken hij in zijn eer : Wat Ilium ontnemen die geven hij Argos weder .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.27	doen veldheer mos zijn ' tong tot groot kost huren , En zelf zijn ' wreedheyd en moordadigheyd bezuren In Aulis aldereerst : doel op de vorstin bede En dwang hij Iphigeen mos heylgen Hecate .	None
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.28	Een burger die het mishagen , en aensagh mede verwondren mos vlucht , en bedrukken zijn huysgoon nog zien plondere Door Krijgslien , heimelijk bij Calches opgeruyt : Die zeggen nog die deze ' straffen ontstond door god besluit .	Fear_HeavyHeartedness_Emotion_EmotionalAction_Sadness_Wonder
vond001pala01_01.TEI.2.text.body.div.sp.2723.s.29	d'Atryden weet het wel die Thestors zoon een schelm zijn , En evenwel , vermits hij zij een staal helm zijn bij deze ' gelegenheid , misbruyckense zijn ' dienst , En boosheid tot zij witten : mare op hebben ongesienst zo sullense de boef en booswight een verschoppen , gelijk doen kind doel hun afgesleurde pop .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2725.s.1	OAT .	None
vond001pala01_01.TEI.2.text.body.div.sp.2737.s.1	ik broeder hebben de boef gekeecken door en door , vinden voetzool tot doen kruin , en komen zijn ' liggen voor Tot de Argiven heil , en houden mede kracht de teugel , Tot hij de een voeden arglistig in de beugelen , En door de veldheer heup krijgen steunen vinden stegelreep .	None
vond001pala01_01.TEI.2.text.body.div.sp.2737.s.2	Nu doen hij het Dorisch ros een draven naar zijn ' zweep , En luisteren wonder gauw naar ' et prikkelen sijner sporen : Nu rijden hij die hij rijden , en hebben alree gezworen bij Palamedes dood .	None
vond001pala01_01.TEI.2.text.body.div.sp.2737.s.3	wat raad ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2737.s.4	doen tij zijn korten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2737.s.5	En hoemen lang draelt , hoe het kwaad nog erg worden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2759.s.1	doen raedeloose nemen hebben ree tot zijn voordeel , Niet zo hij willen , mare mogen .	Emotion_Despair
vond001pala01_01.TEI.2.text.body.div.sp.2759.s.2	zo Nestor over het oordelen mogen zitten , mogelijck vallen het vonnissen niet zo zwaar .	None
vond001pala01_01.TEI.2.text.body.div.sp.2759.s.3	het wassen winst genoeg , indien wat tijd gewinnen waar : zo hij doen vierschaar slaan in eindeloos boeien .	None
vond001pala01_01.TEI.2.text.body.div.sp.2759.s.4	Achilles midlertyd die koster onder roede : d'Oplopentheyd de volk mogen koel : zijn veldheer haten verzachten : Nauplius zullen spreken voor zijn zaad , En wettig erfgenaam , en tredense onder oog , Die willens weten dus uitstrooien deze logen .	Emotion_Hatred
vond001pala01_01.TEI.2.text.body.div.sp.2759.s.5	Oates het voegen uw goed te ding voor u bloeden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2759.s.6	gade Agamemnon aen , en grijpen hij in het gemoed ; Betuygh hij hoe hebben strijd mede al recht orde , die iemand , wij het ook zijde , zullen vinden zijn ' vijand worp veroordelen : en verzoek ernsthaftelijck , die hij Gedoogh die Nelus zoon , mede d'overige drie te vierschaar gade : misschien zullen hij het u ' bede vergunnen uit schaamte , en ook om die zeer liggen drye rechter kunne Vermeestren zijn vierde stemmen .	Emotion_Shame
vond001pala01_01.TEI.2.text.body.div.sp.2759.s.7	diets het naast die ik weten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2764.s.1	ik spoeden ik binden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2764.s.2	och d'Atrijden zijn te wreed : Dies zijn ik hopeloos , en vrezen een droevigh eend .	Fear_Emotion_Despair
vond001pala01_01.TEI.2.text.body.div.sp.2767.s.1	Iupijn u ' broeder vrijen , en al zijn hater schenden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2775.s.1	D'Eubeers krijten vasten : wie maken het lang hoe grof .	None
vond001pala01_01.TEI.2.text.body.div.sp.2775.s.2	hebben moeter evenwel nu onder door , of over .	None
vond001pala01_01.TEI.2.text.body.div.sp.2775.s.3	Hier gelden geren aarzelen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2775.s.4	doen kans zijn al gewagen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2786.s.1	gij die alles oppervorst doen bijl vinden het leger dragen , En zijn baren tot hebben Staf en Scepterswaeyen ; wild door uw heus heyd doch wij onbenoegen paaien .	None
vond001pala01_01.TEI.2.text.body.div.sp.2786.s.2	doen rechter span vasten doen rechtbank , en te gaar ik ' broeder dreigen mede hebben uiterst gevaar vinden het leven , en vinden oud op hun vijand nydigh , En haetigh , dragen zien in het oordelen te partydigh .	Emotion_Hatred_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.2786.s.3	schutten deze onbillijckheyd , en weertse door u ' macht .	None
vond001pala01_01.TEI.2.text.body.div.sp.2794.s.1	gij spreken te spade .	None
vond001pala01_01.TEI.2.text.body.div.sp.2794.s.2	doen zaak zijn nu te ver brengen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2794.s.3	doen rechter zijn loten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2794.s.4	hij salse erkennen moet ; mare vinden gij het goed , ik zullen het geren streng schijnen wat verzoeten mede nog een ' vieren stemmen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2794.s.5	wie stillen het aen u ' keuren .	None
vond001pala01_01.TEI.2.text.body.div.sp.2794.s.6	kiezen die uw goed gevallen , en dragen wij iemand voor .	None
vond001pala01_01.TEI.2.text.body.div.sp.2798.s.1	deze ambt voegen Nestor goed .	None
vond001pala01_01.TEI.2.text.body.div.sp.2819.s.1	ik lijf knechten zonder beiden zeggen Nestor aen ; die hij in het rechte de twisten helpen scheiden , En voegen bij d'andre drie zijn wijsheid , dat niet Onbillijcx in deze stuk uit toorn , en zucht geschieden .	Emotion_Anger_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.2819.s.2	zijde wanen wij hebben werk mede list t'onderkruypen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2819.s.3	mare het zijn doen doodsnack , het zijn d'Eubeers laatst stuip .	None
vond001pala01_01.TEI.2.text.body.div.sp.2819.s.4	doen zaak zijn zo doornaeyt , en zo bezet in all s , hij raeckter eer niet af het en kosten hij zijn hals .	None
vond001pala01_01.TEI.2.text.body.div.sp.2819.s.5	doen klink die moeter door , hebben zijde ik het rechte of krommen schouwen ja eer doen rechtbank zwijgen ik gieten een ' tong vinden stom gouden : die honderdoogigh hoofd , die wachter zijn ik moede , En Argos Argus haten , alwaar het mare om doen koe , Die tot de buik toen treden in fris klaverweyde .	None
vond001pala01_01.TEI.2.text.body.div.sp.2819.s.6	ik zien , ik zien de beul het zwaard trek uit de schede : de oude hondsvot vasten staan sidderen voor de slag : daar liggen doen grijs kop , zijn land uitgediend gezag .	None
vond001pala01_01.TEI.2.text.body.div.stage.2826.s.3	THERSITES .	None
vond001pala01_01.TEI.2.text.body.div.sp.2847.s.1	gij heer diete gaar op Agamemnons heet , Om Palamedes zaak te vierschaar zijde zitten , uw al zijn bekennen hebben gruwelijk verraad , brouwen tot verderf vinden de gemeen staat : En hoe d'Eubeer vorst , uit Nauplius spruiten , hebben toezenden gouden meinedig hebben genieten vinden Koning Priams spie , en listig omkopen veel hopman , en zo het heyr al meer en meer brengen In het uiterst gevaar , vinden onder Trojens wal , Voor het kriek vinden de dag , te worp overval .	None
vond001pala01_01.TEI.2.text.body.div.sp.2847.s.2	Dewijl doen misdaad dan zo klaar en helder blijken , Ontbreeckter dat voorts een wettig vonnissen strijken , En naar ' et begaan stuk de schuldig doen boete zijn ' welverdiend straffen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2847.s.3	gij rechter zullen dan moet aanwijzen mede u ' stemmen , wat hij worden opleggen , Die zien bewegen laten tot zo vervloekt een feit die Nestor zien verklaren .	None
vond001pala01_01.TEI.2.text.body.div.sp.2854.s.1	ik wens genadig heer , die wie door het oordelen noch kwetsen , nog verseeren de schonen gebloeyden staat : mare datmen lief hal Tot matigheid , alles al te streng een vonnissen vellen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2855.s.1	THER .	None
vond001pala01_01.TEI.2.text.body.div.sp.2862.s.1	Wat zeggen doen grijs manna ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2862.s.2	gij suffen , nul oud vader .	None
vond001pala01_01.TEI.2.text.body.div.sp.2862.s.3	geren ' strengheyd zijn te hard .	None
vond001pala01_01.TEI.2.text.body.div.sp.2862.s.4	hebben zijn een landverrader , Een overgegeven schelm : vinden zulk een bij uw heul ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2862.s.5	laat ik er met begaan , en heylightme tot beul .	None
vond001pala01_01.TEI.2.text.body.div.sp.2862.s.6	ik hebben voor langen gewenst de booswicht aen te rand , En tot elk schouwspel hij te willen mede ik ' tand .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2863.s.1	ULIS .	None
vond001pala01_01.TEI.2.text.body.div.sp.2884.s.1	Thersites houden gemak , en spreken op uw beuren .	None
vond001pala01_01.TEI.2.text.body.div.sp.2884.s.2	gij vader Nestor , die gij het leger niet gestoord wild aanzien noch kwetsen , zijn lof en prijsens waardig : die achten ik , zullen geschien , indien wie helen rechtvaardig Af handelen deze zaak , en laten het rechte geschien , En niemand bloeden , noch stam , noch mogendheid ontzien , wan sooge deze straffen wild zwak door verschoning , En door doen vinger zien , die het outer en doen woning uit goudsucht hebben belagen , en dragen uw alles tolk vinden zulk een schendig stuk : gewisselijck hebben volk zullen t'samen rot , en vergaren in veel hoop , En morren : datmen laat doen groot schelm lopen , En die handdadigh zijn aen klein zonde , hard te straf vorderen , en doen goed gemeente zart , En alles bij d'ooren trekken .	None
vond001pala01_01.TEI.2.text.body.div.sp.2884.s.3	hebben krijgsvolck zullen wij honen , En roep : die wie zijn aensienders vinden persoon : Of die wie het mede hij staan die zulk net breien .	None
vond001pala01_01.TEI.2.text.body.div.sp.2894.s.1	daar dienen wel op letten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2894.s.2	hebben geren Ulysses zeggen zijn niet dan al te waar , laat deze zijn ' schuld betalen , Eer datwe op ons hals de hopman ongunst halen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2894.s.3	ik zien velen ' swaerigheen , en vinden ik al bevreesd , En duchten niet zonder reden die duysendhooftigh beest , bij deze ' gelegenheid , en onder Trojens vasten .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.2898.s.1	doen vader die worden kind .	None
vond001pala01_01.TEI.2.text.body.div.sp.2898.s.2	ik hout et hij te goed , Wat uitspraak hoeftmen hier ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2898.s.3	hij brengen zijn vonnissen ik .	None
vond001pala01_01.TEI.2.text.body.div.sp.2913.s.1	Om het heil vinden het Vaderland verguntme deze bede : En bij uw zelf proeven , en overwegen ik zeggen : Of't ongeraden waar d'Eubeer vorst te liggen In eeuwig hechtenis , op datmen niet en maken zijn overoud slachten verblinden door heet wraak .	None
vond001pala01_01.TEI.2.text.body.div.sp.2913.s.2	hij hebben een ' lang slepen vinden hooghgeboren maag .	None
vond001pala01_01.TEI.2.text.body.div.sp.2913.s.3	zijn Vader Nauplius , alles wie in Aulis liggen , zien in gedienstigheid niet weinig queet , en bieden Al wat hij bieden mogen tot reddingh vinden doen vlieden , En Palamedes dienst gaan boven elk vermoeden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2947.s.1	voorgaand deugd mede een schelmstuck te vergoeden zijn griek ongewent , een ' schandelijk daad wissen al weldaen uit .	None
vond001pala01_01.TEI.2.text.body.div.sp.2947.s.2	voorleden vroomheid baten geren ' mens , die vinden aard verwisselen , en verwandelt , zien aen het gemeen vergrijpen , en mede doen vijand handelen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2947.s.3	noch reeks vinden oud slachten , noch stam , noch adeldom , En worden hier aangezien , nog ' buigen doen weten krommen : wan raken deze in swang , en waar die dag baren , Wat zolder tegen staan , zo lopen doen staat verliezen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2947.s.4	En om in hechtenis te brengen Palameed : het hebben velen bedenken in , en strijden mede ons eed : Voor eest , die wij verbinden , die zulk een mens moeten sterven .	None
vond001pala01_01.TEI.2.text.body.div.sp.2947.s.5	Die schuld hebben aen verraad , en het algemeen bederven .	None
vond001pala01_01.TEI.2.text.body.div.sp.2947.s.6	daar naar zo kunnen geren ' plaats verzekeren genoeg Een ' vorstelijk persoon : ik trachten of spade of vroeg na zijn ' verlossing , en ik zoeken doen wachten te krenken : ik hout deze vaderland in onrust en bedenken : ik graven doen muur door , of dragen hij in een ' kissen Voor boek uit : ik veinzen , ik hangelt , en ik vissen Om toorn , en om gracht : of eermen hebben kunnen ruiken krijgen een gevangene heer , gelijk een vogelen , wiek , En over zee en sant zweven heen door d'ope luchten : alles doen Cecropische Dedael zien geven te vlucht : En vinden zijn vangenis , waar in hij zitten versteken , ontbinden , passen zijn leed en ongelijk wreken , hebben geren hij wanen en dromen die zien zijn aandoen : En durven al wat hij denken aangrijpen en bestaan .	EmotionalAction_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.2947.s.7	Meer ding ik verswijgh die staan te bezorgen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2951.s.1	ontslaan uw vinden die vrezen , door vasten en wis borg .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.2955.s.1	Wat borg zijn man ghenoegh ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2960.s.1	Achilles geven zijn woerd , En Ajax .	None
vond001pala01_01.TEI.2.text.body.div.sp.2960.s.2	wel wat deze .	None
vond001pala01_01.TEI.2.text.body.div.sp.2960.s.3	wij komen wij hier aen boord ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2963.s.1	hebben zijn doen goed menen	None
vond001pala01_01.TEI.2.text.body.div.sp.2968.s.1	nul goddeloos treek !	None
vond001pala01_01.TEI.2.text.body.div.sp.2973.s.1	Wat zeggen gij ? het zijn hebben volk die heefter in te spreken .	None
vond001pala01_01.TEI.2.text.body.div.sp.2973.s.2	Wat seyter het leger toen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2973.s.3	komen geven u oordelen dra .	None
vond001pala01_01.TEI.2.text.body.div.sp.2973.s.4	zullen Palameed doen landverrader sterven ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2977.s.1	Ja .	None
vond001pala01_01.TEI.2.text.body.div.sp.2982.s.1	die zijn doen stemmen god , gij rechter neigen uw oor , En stemmen mede u ' menen , of vrezen de god toorn .	None
vond001pala01_01.TEI.2.text.body.div.sp.2985.s.1	ik leveren hij de volk .	None
vond001pala01_01.TEI.2.text.body.div.sp.2989.s.1	ik stemmen het .	None
