focq001mini02_01.TEI.2.text.body.div.head.227.s.1	doen minnen in het Lazarus-huys .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.801.s.1	Hoe nu !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.801.s.2	zijn deze bedrog ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.801.s.3	en noemen gei hebben dan haten Om uw liefde , landen , en ouder te verlaat ?	Emotion_Hatred
focq001mini02_01.TEI.2.text.body.div.div.sp.801.s.4	En Eer , ja leven zelf , te stillen in u hand ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.801.s.5	zijn deze d'ontrouwigheid die gei ik stellen tot schande ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.810.s.1	geren rijden , Isabel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.810.s.2	kunnen ik geloven verbreken vinden u bedrog : Vermits die ik u vluchten eer rekenen Te zijn veroorzaken , uiten een haten tot Constantyn , ( mede wieden gei vrezen haasten door dwang trouwen te zijn ) Dan wel uiten liefde daar gei ik met kosten verleiden .	Fear_Emotion_Hatred_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.822.s.2	deze beschuldiging melden ik u schelmeryen : het zijn zijn , Verrader !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.822.s.3	die doen minnen vinden Constantyn ik ( spijt ik zijn vader dwang ) nooit kennen dan hatelijk zijn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.822.s.4	mare wat wassen d'oorzaak vinden deze hatelijk tegenstreven ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.822.s.5	wassen het niet , om die ik uw ik harden al hebben geven ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.822.s.7	ik Leonard , wat onrecht doen gei ik Door deze u achterdocht ?	Suspicion_Emotion
focq001mini02_01.TEI.2.text.body.div.div.sp.822.s.8	ik Ziel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.822.s.9	zetten die te zijde , En kaar ik tocht weder toen u minnelijk oog , zode gei doen traan , die ik uitstorten , op willen droge .	BodilyProcess_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.829.s.1	wegge mede u traan , wegge mede u geveinsd minnen ; mare geven ik daadlyk doen juweel , die gei in u kleed verbergen , en al doen resten mede een , Die voor een dagge of twee , gei ik laten zieden te reen .	Emotion_BodilyProcess_Love_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.833.s.2	ik juweel ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.838.s.1	Ja , op die gei zij op doen straat , Of in doen Herberg , uw die niet ontstelen laten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.842.s.1	zijn toen begeren gei die ?	Emotion_Desire
focq001mini02_01.TEI.2.text.body.div.div.sp.846.s.1	ik zullen het uw daar naar ontknopen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.850.s.1	zijn liggen wij geld verteren , die gei die wild verkopen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.854.s.1	Neen , ik begeren die slechtt om die ik zij begeren .	Emotion_Desire
focq001mini02_01.TEI.2.text.body.div.div.sp.858.s.1	verkopen indien gei wild deze Krop-boot dan velen eer .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.862.s.1	Neen : geven ik al hier .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.867.s.2	al ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.872.s.1	Zonder praten , geven op .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.876.s.2	ik vriend , gei wild ik liggen verlaat .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.880.s.1	deze tegen-prevelen zullen uw niet wel vergaan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.885.s.2	ik Leonard , wat hebben ik uw misdoen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.885.s.3	zijn deze juweel uw , zode wel alles ik niet eigen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.890.s.1	Verraderes , zode zijn , die gei u lot zullen krijgen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.890.s.2	onkuis , geven ik hier , al wat gei hebben .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.896.s.1	Hoe nu : onkuis ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.896.s.4	krijgen ik deze naam vinden uw ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.896.s.5	ik waard Bruidegom !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.901.s.1	Ik willen die naam niet horen : geven u juweel , of deze Pook zullen uw doorboren .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.905.s.1	Daar zijn zijde ; Hemel , ach !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.905.s.2	nu zieden ik uw nooit weder .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.909.s.1	Sa , daadlyk , geven doen resten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.913.s.1	ik lief , ik hebben niet meer .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.917.s.1	u Reis-rok , mede u keur , schudden uiten , en zonder spreken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.921.s.2	keur - en Reys-rok , Lief ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.926.s.1	deze hand zullen uw doorsteken , maken gei hebben minst gerucht , en gei niet al geven .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.932.s.2	ik harden die kloppen , ik lichaam lillen en beven vinden enkel schrik .	Fear_Emotion_BodyPart_BodilyProcess
focq001mini02_01.TEI.2.text.body.div.div.sp.936.s.1	schudden uiten , tot het hemd toen , al u kleed .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.940.s.1	zijn willen deze heen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.944.s.1	schudden uiten , eer ik beginnen te zweer .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.948.s.1	Daar hebben gei het al : helaas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.948.s.2	wat wild gei nu , ik harden ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.952.s.1	Ik hebben genoeg : varen wel : denken een om Leonard .	None
focq001mini02_01.TEI.2.text.body.div.div.head.954.s.1	vieren toneel .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.957.s.1	Isabella allee , in zij onder-kleeren .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.1	Verrader , gaan gei ik zode trouweloos begeven !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.2	kaar weder , kaar weder , en nemen mede een toch ik leven ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.3	wild gei ik al , daar ik vinden leven zij ontnemen : Ach !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.4	ik rampzalig !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.5	dus arm , en naken , en vreemd , Wat droever ongeval zien ik thans voor ik oog !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.6	mare , schonen die ik die schelm dus deerlijk hebben bedriegen , het zijn ik nog troosten genoeg , schonen hij ik schat stelen , die hij ik liefde , nog ik harden niet volgen zullen .	Emotion_BodyPart_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.7	wan schonen die ik mede hij , ik ouder , huis , en vriend , ontvlieden zijn , geren minnen ( vermits ik nooit beminnen ) geven ik daar oorzaak toen , mare enkel afschrik vinden Een Minnaar , die ik ik willen geven tot een manna .	Emotion_Disgust
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.8	deze dwang alleenig dan die porren ik te vlucht : Hoewel daar door brengen tot zwaar ongenuchten , wan hoe hebben een bedrog door het ander worden betalen , die zien ik hier in ik naar het leven afmalen , Mits ik die zotheid vinden die afkeer nu moeten boete ; zijn door die ik een manna , die eertijds aan ik voeren uiten eerbied liggen geknielt , te schendig hebben verachten .	Emotion_EmotionalAction_Awe_Disgust
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.9	mare laas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.10	zijn zullen ik heen in het val vinden doen nacht , Dus naken , en onbekend ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.11	wat zullen die ik vinden vinden ik geloven ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.13	hoe gaan gei dus verzwinden ik rijkdom , staan en Eer die ik zode haasten verliezen , Door zot koppigheid .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.984.s.14	mare zacht , ik dunken ik horen Al volk : Ik zullen ik hier een weinig neder zet .	None
focq001mini02_01.TEI.2.text.body.div.div.head.986.s.1	vijfde toneel .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.988.s.1	Joris-vaar , Valerius , Klaasje , markten , Isabella .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.990.s.1	Joris-vaar .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.992.s.1	ik beloven uw , vinden op hij in al wel te lid .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.998.s.1	mare zij het niet nodig zijn , die ik zode dra ik kennen Voor hij een zeker soort vinden tegen-gist verzinnen , En die ik hij te mede wat doen medicineren ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1005.s.1	ik zullen mede de dokter daar een over consulteren .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1005.s.2	mare wild hij menigmaal puur dol zijn alles gei zeggen , zullen het god zijn , die ik hij aan ijzeren keten liggen , Op die hij door zijn kwaal al d'and're niet verhinderen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1013.s.1	terwijl die nu doen manen vasten al daag verminderen , zijn mede , gelijk gei weten , doen zotheid ook vergaan , zode zijn het niet nodigen , die ik hij nog binden laten ; mare laten hij nu slechts in doen lang Rok wat lopen , Tot die ik zien wat goed ik uiten hij hebben te hoop .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1017.s.1	Zeer wel ; mare hoe zijn zijn Naam ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1022.s.1	zijn naam zijn kerel .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1027.s.1	En zijn zijn hij tocht vinden daan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1031.s.1	vinden Utrecht .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1038.s.1	Ik bekennen , die ik hij eest hebben voor een Delvenaar nemen , Vermits ik uiten die Plek velen lieden bezoeken komen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1038.s.2	mare wat wassen zijn bedrijf ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1038.s.3	en wat zijn het voor een geest ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1043.s.1	hij zijn voor deze een leren Student wezen , Doch al te vurig in doen boek .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1048.s.1	naar u menen , komen hebben hij daar vinden daan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1052.s.1	En vinden wat minnen mede een .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1057.s.1	zode zijn zijn zotheid dan een dubbel kwaad , alzo het vinden Jonker Pluto komen , en Monsieur Cupido .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1062.s.1	Gewislyk , elk allee , zijn machtigen , om bij tijd , doen wijs manna hebben hoofd op stelt te doel reien .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1067.s.1	Ja , d'overdaat , zode wel in studie , alles in minnen , beroven wij hebben verstaan , en blazen wij zotheid in .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1072.s.1	Hoe velen te meer dan , alles die twee te zamen komen , worden door doen dubbel kracht doen rijden wij ontnemen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1078.s.1	zien hier , daar zien g'er twee , die door die zelfde kracht , Ook zot worden , laatst ik met zijn thuis brengen : schonen zijde te naast bij daar vinden nu zijn genezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1082.s.1	Wat zijn zijde ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1094.s.1	het plegen eer geleerd lieden te wees , mare al te diep verward door zij filosofie , worden elk vinden zij zode zot , voor het minst , alles ander drie , Doch eind'lyk , door doen zorgen , die voor zij zijn dragen , zien ik zij zelden meer in d'oude zot vlaag .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1094.s.2	zode die ik heen gebruiken , in het pas op doen Poort , En in om boodschap te lopen , en zode voor .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1094.s.3	komen Klaasje , komen een hier .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1098.s.2	ik beginnen te vrees .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.1100.s.1	Klaasje .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1102.s.1	Hier zijn ik .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1106.s.1	die zijn een zoon .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1112.s.1	die geloven ik kunnen niet wees ; Vermits ik mede ik vaar gans niet recipocreer , wan die zijn langen al dood , ik zijn geren zoon dan meer .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1116.s.1	Ik horen zijn Logica .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1121.s.1	En jij Me-Jonker markten !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1121.s.2	jij zijn een Edelman .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.1123.s.1	markten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1126.s.1	zode slechts ik moeder geren part spelen hebben mede een Boer , terwijl ik worden maken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1131.s.1	deze zijn de Adeldom zode zeer in het hoofd geraken , die hij zien schier vinden het bloeden vinden Held Achilles rekenen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1135.s.1	Ik hebben zij beyder soort vinden zotheid al tekenen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1139.s.1	mare zeggen een Joris-vaar , hebben Vuur , zijn het kouten of heten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1143.s.1	kouten zijn hebben altijd niet .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1150.s.1	Hoe droes of hij die weten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1150.s.2	En zijn of hij doen kracht vinden het vuur zode wel leren hebben ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1150.s.3	Of zijn het , om die hij het door een Brantmerk proberen hebben ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1154.s.1	jij Gauwdief !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1154.s.2	alles jouw bende .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1160.s.1	Ha ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1160.s.2	ha , wel Joris-vaar !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1160.s.3	Daar hebben hij uw hebben .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1160.s.4	mare zien wat Vrouw zitten daar Gints op doen straat ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1165.s.1	Ik wedde het zullen sint Tisbe wees , Die om zij Pyramus zijn uiten doen dood verrijzen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1174.s.2	naar die ik merken , zode hebben ik ik zien , Nu zijn hebben al te laten , om hier vinden daan te vlieden : het zullen goed zijn , die ik door ik zucht , en ik klagen doen blijk , die ik ik hebben al ik god ontdragen , Of ik nog licht'lyk in het mededogen Amsterdam , In deze ik ongeluk , of troosten , of helpen bekomen .	EmotionalAction_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.1178.s.1	zeggen vrouwmens staan een op , wat zitten gei hier te steen ?	EmotionalAction_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.1183.s.1	o Hemel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1183.s.2	willen ik wraken op deze schelm verlenen , Die mede ik kleed ik zode velen juweel stelen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1187.s.1	wie komen rechte te passen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1191.s.1	Ik kenze wel ; zij zijn mal .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1196.s.1	Ach ongelukkig !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1196.s.2	nog nauwelijks hier komen , worden uw op een springen , al wat gei hebben ontnemen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1200.s.1	o Schepsel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1204.s.1	Wat zijn deze ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1209.s.1	hout uw een weinig stillen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1213.s.1	En waarom die ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1217.s.1	Om die ik uw een zoen willen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1221.s.1	staan af vinden ik , gei fielt !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1225.s.1	Ik kennen deze zot wees .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1229.s.1	komen Susje !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1229.s.2	staan jij op , en willen voor wij niet vrees .	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.div.sp.1234.s.2	zijn te wereld dan geren meer erbarmenis , Voor een die al zij goed terstond ontstelen zijn ?	Emotion_Compassion
focq001mini02_01.TEI.2.text.body.div.div.sp.1239.s.1	Indien het zij hersenen zijn , daar zijde vinden liggen te praten , zode zweren ik die ik zij helen weinig hebben laten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1244.s.1	achten duizend kronen , wassen voor het minst doen zijn , het geren in juweel ik ontstelen hebben vinden ik .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1249.s.1	Ik horen wel uiten doen tekst zijn op zij zin spel , die deze zij zotheid spruiten uiten rijkdom en juweel .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1254.s.1	die hebje wel vatten , ik kennen zij heel staan , hout zij om mynentwil vinden nacht slechts vinden doen straat .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1258.s.1	Za jong , pakken zij aan , en liggen zij dan naar binden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1262.s.2	gade jij mede .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1267.s.1	komen aan ik kind vinden min , treden zachtjes voor .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1272.s.1	zijn heen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1272.s.2	wat wild gei mede ik doel ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1272.s.3	laten lossen , gei fielt !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1272.s.4	lossen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1277.s.1	Gans bloeden !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1277.s.2	die wassen een zoenen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1282.s.1	Hoe vrouwmens , slaan jouw ik ? ik zweren , ik zullen jouw die part Vorleeren , komen jouw thuis .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1287.s.1	zeggen die jouw sint markten Of vinden zijn Maagschap , zijn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1291.s.1	Die zijn ik , mare te paren .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1297.s.1	Indien gei , die gei zeggen , of vinden zijn vriend waatd , zode zullen gei zode barbaars en wreed niet mede ik leven ; mare zullen ik eer doen helft vinden al u kleed geven .	None
